site_numeric,site,slope_grades,upstream_area_grades,order_grades,distance_snapped_m
190,KAF.10,3.89E-04,1254460928,6,36.29421996
191,KAF.10,3.89E-04,1254460928,6,73.16047176
192,Lower Zambezi,3.51E-04,6712867840,7,236.9587981
193,Kafue Bridge,0.001202834,1224030336,6,18.56172351
194,KAF.9,0.001202834,1224030336,6,18.56172705
195,Borges2015_1159,0.001202834,1224030336,6,19.67367051
197,KAF.6,0.003219127,857191232,6,86.0513013
198,KAF.6,0.003219127,857191232,6,63.69069769
199,downstream ITT,0.003219127,857191232,6,61.37753404
200,KAF.6,0.003219127,857191232,6,57.52225059
201,KAF.8,0,1201425920,6,89.66839796
202,KAF.8,0,1201425920,6,14.50050912
203,KAF.8,0,1201425920,6,30.05931277
204,Mazabuka,2.03E-04,730637.9,1,19.33070614
205,ZBZ.12,1.51E-04,6742325248,7,558.8970985
206,Chongwe,0.011214253,41427892,4,49.90199303
207,KAF.7,1.15E-04,944603584,6,141.3417168
208,ZBZ.13,6.90E-05,6861269504,7,21.39757955
209,Borges2015_1090,6.90E-05,6861269504,7,15.99852466
210,ZBZ.13,6.90E-05,6861269504,7,158.18069
211,ZBZ.13,6.90E-05,6861269504,7,166.6653368
212,Borges2015_1093,4.28E-04,1196716672,6,113.1478046
213,ZBZ.14,0,231152.6,1,229.1077292
214,LUA.5,4.28E-04,1196716672,6,279.2135709
215,LUA.5,4.28E-04,1196716672,6,458.6521564
217,ZBZ.4,0,2244856832,7,104.2332756
218,LUA.4,4.49E-04,1142451584,6,32.63162869
220,KafueHookBridge,7.46E-05,770374848,6,106.3452488
221,KAF.5,7.46E-05,770374848,6,110.2080779
222,LUA.4,4.58E-04,1141372032,6,4.099637918
223,KAF.5,7.46E-05,770374848,6,75.87844649
224,KAF.5,7.46E-05,770374848,6,32.62966454
226,LUNSE.2,4.12E-04,207114624,5,3.532690583
227,LUNSE.2,4.12E-04,207114624,5,0.767860951
229,KAF.4,0,443106176,5,75.22193531
230,KAF.4,0,443106176,5,75.99527182
231,KAF.4,0,443106176,5,59.7553521
235,ZBZ.3,1.38E-04,1715040640,6,218.9748252
236,ZBZ.3,1.38E-04,1715040640,6,156.5303024
239,ZBZ.3,1.38E-04,1715040640,6,36.11475934
240,LUNSE.1,0.001532819,62908076,4,0.76820311
241,LUA.3,4.10E-04,735671040,5,48.4328157
249,KAB.2,1.65E-04,534513760,5,42.9710778
250,LUN.3,0.004826753,281434.1,1,33.0120992
251,LUN.3,1.33E-04,173345616,5,15.11440547
252,LUNSE.1,0.002362402,37125040,4,5.086449978
256,KAF.3,1.93E-05,184376864,5,22.21571653
257,KAF.3,1.93E-05,184376864,5,22.26232394
260,Borges2015_1141,0.022262045,1139186,2,32.78981841
261,Borges2015_1140,0.022262045,1139186,2,58.9803003
262,Borges2015_1139,0.022262045,1139186,2,58.2770878
263,ZBZ.2,9.92E-04,648669504,6,16.99995532
264,LUA.2,2.28E-04,590749056,5,44.45621197
265,LUA.2,2.28E-04,590749056,5,28.88890096
266,ZBZ.2,9.92E-04,648669504,6,85.96904061
267,ZBZ.2,9.92E-04,648669504,6,277.1301825
268,LUN.2,1.73E-04,86342176,5,52.41082145
279,KAF.2,6.87E-04,57428292,4,2.203284387
280,KAF.2,6.87E-04,57428292,4,0.02061752
290,KAF.1,0.001072439,46441096,4,2.378168539
291,KAF.1,0.001072439,46441096,4,0.729191189
292,KAF.1,0.001072439,46441096,4,3.059705345
294,LUN.1,0.002043364,5897553,3,9.823489479
295,LUN.1,0.002043364,5897553,3,25.03575739
297,KAB.1,0.001468166,9172440,3,16.41967915
298,KAB.1,0.001468166,9172440,3,22.7968068
299,Borges2015_1135,0.023573466,1068541.9,2,8.212840837
300,Borges2015_1136,0.023573466,1068541.9,2,30.45187083
310,ZBZ.1,0.004428015,1284620.6,1,3795.41597
312,ZBZ.1,0.003026271,6158771,3,17.43113095
324,Borges2015_1137,0.003183064,5653084,2,44.13259404
328,Borges2015_1138,0.003183064,5653084,2,2.84174966
333,LUA.1,9.04E-04,26972530,4,6.985745431
334,Borges2015_1132,0.005221228,21476600,3,11.32476591
335,Borges2015_1131,0.005221228,21476600,3,44.08383127
336,Borges2015_1130,0.005221228,21476600,3,83.71962706
365,Borges2015_1133,0.021794993,27492500,4,9.036239614
377,Borges2015_499,0,23615074,3,178.8130412
378,Borges2015_498,0,238453.5,1,1908.990083
384,Borges2015_1414,8.44E-04,11103387,3,18.63867354
385,Congo River basin,0.001269011,24358862,3,30.3451293
