site	ref	group_idx	latitude	longitude	lake_type	climate_class	surface_area_km2	mean_depth_m	hylak_id	hylak_lake_name	hylak_lake_area	hylak_vol_total	hylak_depth_avg
Tucuru Reservoir - U9	53	4	-4.495552	-49.527778	reservoir	2	2000		76	Tucurui Reservoir	2349.17	49536	21.1
Tucuru Reservoir - U8	53	4	-4.415954	-49.514957	reservoir	2	2000		76	Tucurui Reservoir	2349.17	49536	21.1
Tucuru Hydroelectric Reservoir	65	4	-4.40497	-49.5048	reservoir	2			76	Tucurui Reservoir	2349.17	49536	21.1
Tucuru Reservoir - U6	53	4	-4.360587	-49.769231	reservoir	2	2000		76	Tucurui Reservoir	2349.17	49536	21.1
Tucuru Hydroelectric Reservoir	65	4	-4.34593	-49.7584	reservoir	2			76	Tucurui Reservoir	2349.17	49536	21.1
Tucuru Reservoir - U7	53	4	-4.239537	-49.480769	reservoir	2	2000		76	Tucurui Reservoir	2349.17	49536	21.1
Tucuru Hydroelectric Reservoir	65	4	-4.23154	-49.4689	reservoir	2			76	Tucurui Reservoir	2349.17	49536	21.1
Tucuru Reservoir - U5	53	4	-4.220664	-49.705128	reservoir	2	2000		76	Tucurui Reservoir	2349.17	49536	21.1
Tucuru Hydroelectric Reservoir	65	4	-4.21759	-49.7006	reservoir	2			76	Tucurui Reservoir	2349.17	49536	21.1
Tucuru Hydroelectric Reservoir	65	4	-3.96431	-49.8445	reservoir	2			76	Tucurui Reservoir	2349.17	49536	21.1
Tucuru Reservoir - U3	53	4	-3.956401	-49.82265	reservoir	2	2000		76	Tucurui Reservoir	2349.17	49536	21.1
Tucuru Reservoir - U1	53	4	-3.861355	-49.626068	reservoir	2	2000		76	Tucurui Reservoir	2349.17	49536	21.1
Tucuru Hydroelectric Reservoir	65	4	-3.85943	-49.6106	reservoir	2			76	Tucurui Reservoir	2349.17	49536	21.1
Tucuru Reservoir	74	4	-3.851126	-49.614374	reservoir	2	289		76	Tucurui Reservoir	2349.17	49536	21.1
Tucuru reservoir	141	4	-3.85	-49.61	reservoir	2	2875		76	Tucurui Reservoir	2349.17	49536	21.1
Tucuru Reservoir - U2	53	4	-3.842184	-49.711538	reservoir	2	2000		76	Tucurui Reservoir	2349.17	49536	21.1
Tucuru Hydroelectric Reservoir	65	4	-3.84059	-49.7731	reservoir	2			76	Tucurui Reservoir	2349.17	49536	21.1
Tucuru Hydroelectric Reservoir	53	4	-3.831667	-49.646667	reservoir	2	2000		76	Tucurui Reservoir	2349.17	49536	21.1
Tucuru Hydroelectric Reservoir	65	4	-3.81031	-49.5769	reservoir	2			76	Tucurui Reservoir	2349.17	49536	21.1
Tucuru Reservoir - U4	53	4	-3.794569	-49.570513	reservoir	2	2000		76	Tucurui Reservoir	2349.17	49536	21.1
"Belo Monte hydropower complex, Intermediate Reservoir (P16-P18)"	72	251	-3.44253	-51.954685	reservoir	2	134						
GEX26; GEX7	39	251	-3.424133	-51.937447	reservoir	2	516						
GEX43	39	251	-3.423012	-51.936707	reservoir	2	516						
GEX62	39	251	-3.411782	-51.968489	reservoir	2	516						
GEX6	39	251	-3.411719	-51.968102	reservoir	2	516						
GEX25	39	251	-3.41171	-51.968462	reservoir	2	516						
XA-49	39	251	-3.400507	-51.972682	reservoir	2	516						
Xingu 11	224	251	-3.391177	-51.975706	reservoir	2							
XA-81	39	251	-3.390198	-51.97818	reservoir	2	516						
Barragem	39	251	-3.389993	-51.975236	reservoir	2	516						
GEX46	39	251	-3.389402	-51.978512	reservoir	2	516						
GEX33	39	251	-3.386118	-51.979184	reservoir	2	516						
GEX8	39	251	-3.385567	-51.978184	reservoir	2	516						
GEX61	39	251	-3.381843	-51.984049	reservoir	2	516						
GEX34	39	251	-3.381698	-51.984364	reservoir	2	516						
GEX35	39	251	-3.356643	-52.043752	reservoir	2	516						
GEX50	39	251	-3.356417	-52.04386	reservoir	2	516						
GEX5	39	251	-3.339647	-51.991423	reservoir	2	516						
GEX16	39	251	-3.339619	-51.991495	reservoir	2	516						
GEX48	39	251	-3.339601	-51.991513	reservoir	2	516						
GEX57	39	251	-3.296154	-51.814342	reservoir	2	516						
GEX31	39	251	-3.290688	-51.815787	reservoir	2	516						
GEX59	39	251	-3.260359	-51.767529	reservoir	2	516						
GEX29	39	251	-3.255517	-51.770171	reservoir	2	516						
"Belo Monte hydropower complex, Xingu Reservoir (P4-P15), flooded area"	72	251	-3.21801	-52.149169	reservoir	2	382						
Xingu	330	251	-3.203333	-52.206389	reservoir	2	382						
GEX28	39	251	-3.154522	-51.785845	reservoir	2	516						
GEX60	39	251	-3.150661	-51.783736	reservoir	2	516						
Curua-Un	89	56	-2.859376	-54.36069	reservoir	2	72		10040		64.67	472	7.3
Curu-Una Reservoir	190	56	-2.835917	-54.322355	reservoir	2	72		10040		64.67	472	7.3
Mai-Ndombe Lake	45	12	-2.66661	18.2354	lake	2			164	Mai-Ndombe	2316.21	41000	17.7
Lake Kivu Station 30	49	11	-2.45295	28.85455	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 22	49	11	-2.45281	28.85536	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 65	49	11	-2.45232	28.85508	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu	292	11	-2.4501	28.8564	lake	3	2400.88	237	163	Kivu	2400.88	569000	237
Lake Kivu Station 8	49	11	-2.4501	28.85644	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 28	49	11	-2.34024	28.97672	lake	15			163	Kivu	2400.88	569000	237
Lake Kivu Station 1	49	11	-2.33952	28.97633	lake	15			163	Kivu	2400.88	569000	237
Lake Kivu Station 18	49	11	-2.33841	28.97638	lake	15			163	Kivu	2400.88	569000	237
Lake Kivu	217	11	-2.3374	28.9775	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 29	49	11	-2.337	28.97625	lake	15			163	Kivu	2400.88	569000	237
Lake Kivu Station 1	49	11	-2.32522	28.98028	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 27	49	11	-2.28597	29.06193	lake	15			163	Kivu	2400.88	569000	237
Lake Kivu Station 64	49	11	-2.28522	29.06318	lake	15			163	Kivu	2400.88	569000	237
Lake Kivu Station 16	49	11	-2.28516	29.06324	lake	15			163	Kivu	2400.88	569000	237
Lake Kivu Station 20	49	11	-2.28486	29.06255	lake	15			163	Kivu	2400.88	569000	237
"Ishungu Basin, Lake Kivu"	46	11	-2.284065	28.946938	lake	9			163	Kivu	2400.88	569000	237
Lake Kivu Station 17	49	11	-2.27515	28.98867	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 9	49	11	-2.2749	28.98892	lake	9			163	Kivu	2400.88	569000	237
Lake Kivu Station 16	49	11	-2.26987	28.98767	lake	9			163	Kivu	2400.88	569000	237
Lake Kivu Station 53	49	11	-2.26949	28.98427	lake	9			163	Kivu	2400.88	569000	237
Lake Kivu Station 26	49	11	-2.19157	29.13655	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 19	49	11	-2.19096	29.1365	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 63	49	11	-2.19067	29.13648	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 20	49	11	-2.1906	29.13592	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 54	49	11	-2.15708	28.96258	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 14	49	11	-2.15668	28.9613	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 10	49	11	-2.15633	28.96137	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 17	49	11	-2.15595	28.96165	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 18	49	11	-2.11002	29.19194	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 15	49	11	-2.10969	29.19157	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 25	49	11	-2.10765	29.19188	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 62	49	11	-2.1072	29.19296	lake	3			163	Kivu	2400.88	569000	237
Mai Ndombe	292	12	-2.085	18.313	lake	2	1955	2	164	Mai-Ndombe	2316.21	41000	17.7
Lake Kivu Station 21	49	11	-2.0487	29.28611	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 23	49	11	-2.0474	29.2864	lake	3			163	Kivu	2400.88	569000	237
"Kibuye Basin, Lake Kivu"	46	11	-2.046594	29.32474	lake	9			163	Kivu	2400.88	569000	237
Lake Kivu Station 7	49	11	-2.04628	29.28771	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 13	49	11	-2.02628	28.98716	lake	15			163	Kivu	2400.88	569000	237
Lake Kivu Station 11	49	11	-2.02548	28.98626	lake	15			163	Kivu	2400.88	569000	237
Lake Kivu Station 55	49	11	-2.02447	28.98786	lake	15			163	Kivu	2400.88	569000	237
Lake Kivu Station 18	49	11	-2.02266	28.98914	lake	15			163	Kivu	2400.88	569000	237
Lake Kivu Station 13	49	11	-2.01706	29.28339	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 17	49	11	-1.98671	29.21716	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 61	49	11	-1.98638	29.21653	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 24	49	11	-1.98625	29.21717	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 7	49	11	-1.986	29.21754	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu	118	11	-1.952573	29.197664	lake	3	2370		163	Kivu	2400.88	569000	237
Lake Kivu Station 12	49	11	-1.90019	29.02915	lake	15			163	Kivu	2400.88	569000	237
Lake Kivu Station 12	49	11	-1.89995	29.02737	lake	15			163	Kivu	2400.88	569000	237
Lake Kivu Station 19	49	11	-1.8997	29.02858	lake	15			163	Kivu	2400.88	569000	237
Lake Kivu Station 56	49	11	-1.89855	29.02995	lake	15			163	Kivu	2400.88	569000	237
Balbina	104	3	-1.889668	-59.489335	reservoir	1	1560		75	Balbina Reservoir	2304.63	17533	7.6
Balbina reservoir in Uatuma River	128	3	-1.838729	-59.529171	reservoir	1	1770		75	Balbina Reservoir	2304.63	17533	7.6
Lake Kivu Station 23; Lake Kivu Station 8	49	11	-1.82665	29.16366	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 60	49	11	-1.82458	29.16453	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 16	49	11	-1.8235	29.16261	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 11	49	11	-1.77663	29.07236	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 57	49	11	-1.77587	29.07218	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 20	49	11	-1.77547	29.07288	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 13	49	11	-1.77536	29.07214	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 20; Lake Kivu: Northern Basin of Gisenyi	218; 49	11	-1.72504	29.23745	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu	290	11	-1.723388	29.248718	lake	3	2370		163	Kivu	2400.88	569000	237
Lake Kivu Station 22	49	11	-1.66344	29.11607	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 14	49	11	-1.66301	29.11631	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 10	49	11	-1.66293	29.11517	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 58	49	11	-1.66165	29.11592	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 9	49	11	-1.62165	29.05015	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 21	49	11	-1.621	29.05016	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 15	49	11	-1.62087	29.04961	lake	3			163	Kivu	2400.88	569000	237
Lake Kivu Station 59	49	11	-1.62	29.04957	lake	3			163	Kivu	2400.88	569000	237
Lac Vert	292	236	-1.614	29.135	lake	3	0.2	8	1407672		0.18	1.29	7.1
Ndalaga	292	187	-1.281	29.007	lake	3	4.1	9	180772		3.59	33.78	9.4
Lukulu	292	186	-1.261	29.029	lake	3	2.2	2.3	180769		2.11	13.05	6.2
Mbalukira	292	185	-1.226	29.025	lake	3	1.6	6	180766		1.26	9.24	7.3
Mbita	292	184	-1.215	29.014	lake	3	2.8	10	180765		2.45	28.44	11.6
Victoria	292	0	-1.077	32.839	lake	1	67075	40	16	Victoria	67166.22	2760000	41.1
Gitaru 1; Gitaru Exit; Gitaru Inlet; Gitaru1; GitaruExit; GitaruInlet; GitaruIntake; Kamburu1; KamburuExit; KamburuInlet; KamburuIntake; Masinga 1; Masinga Bridge; Masinga Inlet; Masinga Mid; Masinga1; Masinga3; Masinga4; MasingaBridge; MasingaInlet; MasingaIntake; MasingaMid; MasingaMilani; SaganaBridge	183	115	-0.897587	37.485506	reservoir	3	15		15961	Tana	69.71	1560	22.4
Masinga reservoir	50	115	-0.88501	37.554152	reservoir	3			15961	Tana	69.71	1560	22.4
Lake Sonachi	96	235	-0.782756	36.261931	lake	15	0.18		1407346		0.12	0.6	5.3
Tumba	292	49	-0.776	18.014	lake	1	694	1.5	1590	Tumba	744.89	2979.55	4
Humbolt	314	279	-0.528459	-78.2229	lake	13	0.002586	1.166667					
Santa luca	314	280	-0.463051	-78.18398	lake	13	0.039091	1.555556					
Secas	314	194	-0.452934	-78.32879	lake	12	0.187205	9.216667	1079287		0.15	1.07	7
Papallacta	314	193	-0.377752	-78.15959	lake	13	0.424838	18	1079254		0.28	2.28	8.1
Edward	292	10	-0.371	29.565	lake	3	2253	33	162	Edward	2241.98	76700	34.2
Sucus	314	192	-0.340307	-78.18878	lake	13	0.321994	4.5	1079241		0.29	2.24	7.8
Nkugute	292	234	-0.324	30.099	lake	3	0.9	26	1407153		0.92	7.92	8.6
Loreto	314	191	-0.313984	-78.14614	lake	13	0.513986	19.3	1079230		0.42	4.3	10.2
Kyashanduka	292	233	-0.29	30.05	lake	3	0.5	0.9	1407141		0.53	3.05	5.8
Edward	169	10	-0.2897	29.7333	lake	3			162	Edward	2241.98	76700	34.2
Nyamusingere	292	183	-0.288	30.03	lake	3	4	1.8	180701		4.01	38.17	9.5
Nyamusingere	169	183	-0.2844	30.0376	lake	3			180701		4.01	38.17	9.5
A3	312	281	-0.28036	-78.15686	lake	29	0.018						
A2	312	282	-0.25785	-78.15979	lake	29	0.08						
L. Edward Pelagic	311	10	-0.2515	29.7999	lake	3	2253		162	Edward	2241.98	76700	34.2
L. Edward Littoral; L. Edward littoral	311	10	-0.2473	29.8868	lake	3	2253		162	Edward	2241.98	76700	34.2
A1	312	283	-0.23709	-78.1544	lake	29	0.055						
Salve facha	314	284	-0.237089	-78.1544	lake	13	1.203382	2.5					
Mrambi	292	232	-0.23	30.106	lake	3	0.6	9	1407113		0.52	4.8	9.2
Katinda	292	231	-0.221	30.106	lake	3	0.4	10	1407109		0.41	3.86	9.4
Katinda	169	231	-0.218	30.107	lake	3			1407109		0.41	3.86	9.4
Kyamwinga	292	182	-0.188	30.145	lake	3	3.1	20	180696		3	37.51	12.5
Kyamwinga	169	182	-0.1805	30.1463	lake	3			180696		3	37.51	12.5
Nyamunuka	292	230	-0.09	29.987	lake	3	0.9	0.1	1407075		0.56	2.3	4.1
Kitagata	292	229	-0.064	29.975	lake	3	0.7	2.3	1407068		0.69	7.47	10.9
George	169	48	-0.0227	30.1972	lake	3			1586	George	260.7	908.97	3.5
George	292	48	-0.001	30.219	lake	3	273	2	1586	George	260.7	908.97	3.5
Yanacocha	314	285	0.010034	-77.90635	lake	13	0.095858	5.5					
Negra	314	190	0.114264	-78.27318	lake	12	0.10737	9.8	1079127		0.15	1.04	7
Mojanda	314	123	0.1349	-78.26917	lake	12	2.947988	28	116935		2.87	54.73	19.1
