group_idx_manual,lake_area_km2,vol_total_Mm3,depth_avg_m,method
1141,0.2,,,ref/manual delineation
1142,0.05,,,ref/manual delineation
1143,0.06,,,ref/manual delineation
1144,0.13,,,ref/manual delineation
1145,0.16,,,ref/manual delineation
1146,0.13,,,ref/manual delineation
1147,0.000001,,,ref/manual delineation
1148,0.05,,,ref/manual delineation
1149,22,,,ref/manual delineation
1150,0.00002,,,ref/manual delineation
1151,0.085,,,ref/manual delineation
1152,0.0045,,,ref/manual delineation
1153,0.00055,,,ref/manual delineation
1154,0.0009,,,ref/manual delineation
1155,0.0004,,,ref/manual delineation
1156,0.022,,,ref/manual delineation
1157,0.0006,,,ref/manual delineation
1158,0.0065,,,ref/manual delineation
1159,0.0004,,,ref/manual delineation
1160,0.0025,,,ref/manual delineation
1161,0.0037,,,ref/manual delineation
1162,0.00075,,,ref/manual delineation
1163,0.003,,,ref/manual delineation
1164,0.0003,,,ref/manual delineation
1165,287,,,ref/manual delineation
1166,0.01,,,ref/manual delineation
1167,0.09,,,ref/manual delineation
1168,20200,,,ref/manual delineation
1169,0.1,,,ref/manual delineation
1170,0.15,,,ref/manual delineation
1171,0.03,,,ref/manual delineation
1172,0.05,,,ref/manual delineation
1173,0.05,,,ref/manual delineation
1174,0.012,,,ref/manual delineation
1175,0.00074,,,ref/manual delineation
1176,0.0023,,,ref/manual delineation
1177,0.00072,,,ref/manual delineation
1178,0.04,,,ref/manual delineation
1179,0.09,,,ref/manual delineation
1180,0.06,,,ref/manual delineation
1181,0.05,,,ref/manual delineation
1182,4400,,,ref/manual delineation
1183,0.25,,,ref/manual delineation
1184,0.2,,,ref/manual delineation
1185,0.18,,,ref/manual delineation
1186,0.049,,,ref/manual delineation
1187,0.03,,,ref/manual delineation
1188,0.009,,,ref/manual delineation
1189,0.09,,,ref/manual delineation
1190,0.079,,,ref/manual delineation
1191,0.019,,,ref/manual delineation
1192,0.09,,,ref/manual delineation
1193,0.005,,,ref/manual delineation
1194,0.003,,,ref/manual delineation
1195,0.028,,,ref/manual delineation
1196,0.023,,,ref/manual delineation
1197,0.036,,,ref/manual delineation
