site_numeric,site,longitude_reported,latitude_reported,longitude_snapped,latitude_snapped,distance_snapped,catchment_area_reported,river_width,catchment_area_snapped,catchment_area_h90m,order_orig_coords,order_snapped_coords,slope_channel,elevation_m
991,Thambana river-Manyatta,37.4717,-0.3995,37.47208333,-0.40125,199.427781,NA,3.5,41.87656403,41.77449036,4,4,0,1761
1001,Nyanjara river-manyatta,37.4588,-0.3843,37.45625,-0.384583333,285.6052268,NA,3,73.42797089,0.008586549,NA,4,0,1738
1005,A6,-78.13576,-0.38102,-78.12708333,-0.382083333,973.086985,187.4,4.5,185.5420532,43.37849426,NA,6,0.124646,2987
1013,Honi River-Aberdares,36.673908,-0.36133,36.67541667,-0.362083333,187.7143547,NA,3.5,40.91840744,0.06912075,NA,4,0.023115,3207
1014,Borges2015_1441,36.67391,-0.36133,36.67541667,-0.362083333,187.5151987,NA,4,40.91840744,0.06912075,NA,4,0.023115,3207
1038,Giinchi River-Mt.Kenya,37.600019,-0.251262,37.60208333,-0.249583333,296.187518,NA,4,14.70320702,0.016560128,NA,4,0,1634
1078,Congo River basin,18.282969,0.113975,18.28125,0.112916667,224.7170488,NA,4,0.509820402,0.032194037,NA,2,0,303
1138,Borges2019_89,24.180353,0.631318,24.18208333,0.632083333,210.6094344,NA,4,176.9237976,176.6907654,6,6,0,382
1165,Borges2019_62,24.28226,0.75107,24.28208333,0.759583333,947.9039309,NA,4.5,48.52863312,0.023055013,NA,5,0,371
1167,Congo River basin,24.59611,0.7575,24.59375,0.757083333,266.7545356,NA,3,0.283733696,0.014011405,NA,2,0.088609,404
1188,Congo River basin,24.59753,0.77109,24.59791667,0.762083333,1003.540911,NA,4.5,6.336544991,1006.013428,NA,4,0.015323,391
1210,Borges2019_64,24.34464,0.84339,24.34375,0.842083333,175.9871523,NA,4,6.048811913,5.933745861,3,3,0,408
1247,Congo River basin,18.79348,1.261168,18.79375,1.259583333,178.9452825,NA,3.5,0.260900259,0.020654118,NA,1,0,325
1249,Borges2019_81,23.79998,1.28785,23.79875,1.285416667,303.5012835,NA,4,104.8386307,0.029810593,NA,5,0.005425,380
1272,Maludam River,111.11127,1.540329,111.1070833,1.547083333,884.5275799,91.4,3.23,30.94956589,0.013051249,NA,4,0,17
1279,MALUDAM_S4,111.0621,1.6158,111.0579167,1.62375,999.9489435,NA,4.5,72.25806427,69.42205811,5,5,0.00543,14
1289,Moundoungoma,17.155134,1.681977,17.15375,1.68125,173.9698029,NA,4,2.380938768,0.010103818,NA,3,0,336
1324,Congo River basin,20.375702,2.004854,20.37625,2.002916667,224.1145647,NA,2.5,1.402477622,0.011699772,NA,2,0,339
1328,Motima,18.056044,2.022925,18.06125,2.027916667,802.6229304,NA,4.5,170.885498,0.008581252,NA,NA,0,318
1330,Congo River basin,20.501129,2.030496,20.50041667,2.027916667,297.8653109,NA,3,0.503294289,0.13453947,1,1,0,334
1341,Mopanzi,16.122,2.057,16.11958333,2.057083333,269.0087387,NA,3,48.54796219,7.013246059,NA,4,0,378
1393,Imbalataka (tributary of Mbar),17.11038,3.90408,17.10875,3.905416667,234.3336584,NA,3,0.149709567,0.019728836,NA,1,0.026968,436
1396,Unnamed left bank tributary of Lobaye,17.413648,3.967126,17.41375,3.967083333,12.28285708,NA,3,7.618629456,7.618629456,4,4,0.040142,432
1398,lblk (right bank tributary of Lobaye),17.32564,4.02745,17.32541667,4.029583333,238.7729828,NA,4,67.85466003,67.59980774,4,4,0,447
1408,CUL-1A,114.403767,4.573728,114.4054167,4.572083333,258.8993184,NA,4,37.2586174,3.679498434,2,4,0,14
1409,CW12,114.401045,4.576059,114.4029167,4.574583333,264.8009008,NA,4,3.556779861,3.315774918,2,2,0,14
1410,CW11,114.398323,4.57839,114.4004167,4.577083333,274.1014072,NA,4,3.056159019,0.008743051,NA,2,0,13
1411,CW10,114.3956,4.580721,114.3979167,4.579583333,286.569474,NA,4,2.529811621,0.124824248,NA,2,0,15
1412,CW9,114.392878,4.583052,114.3945833,4.582083333,217.7971791,NA,4,1.839630723,1.501587749,2,2,0,13
1413,CW8,114.390156,4.585383,114.3920833,4.584583333,231.6500578,NA,4,1.186985493,0.713573158,NA,2,0,11
1414,CW7,114.387434,4.587714,114.38875,4.58625,218.8235338,NA,4,0.686200261,0.070802771,NA,2,0,12
1415,CW6,114.384711,4.590045,114.3829167,4.59125,240.0744333,NA,4,0.877879262,0.009260819,NA,2,0,13
1416,CW5,114.381989,4.592376,114.3804167,4.592916667,184.558926,NA,4,1.814309001,0.840751231,2,3,0,10
1417,CW4,114.379267,4.594707,114.37875,4.597083333,270.681142,NA,4,2.827829599,1.980740428,3,3,0,11
1418,CW3,114.376544,4.597038,114.37625,4.599583333,285.2170078,NA,4,3.078756809,0.087869011,NA,3,0,14
1419,CW2,114.373822,4.599369,114.3745833,4.60125,225.7909686,NA,4,3.146143675,0.01347821,NA,3,0,9
1420,CW1,114.3711,4.6017,114.36875,4.60125,265.5257421,10.66,4,4.274929047,3.414116621,3,3,0,7
1540,Lower Arboleda,-84.009444,10.429167,-84.00125,10.43125,926.5632965,0.461,4.5,42.71983337,0.042780053,NA,NA,0,37
1541,Lower Taconazo,-84.013333,10.431944,-84.01541667,10.43291667,252.5110502,0.27,4,0.77061367,0.008444403,NA,1,0,53
1642,QPB,-65.819725,18.326287,-65.82208333,18.32708333,264.5097018,0.17,3.5,2.754311085,0.419027627,1,3,0.360826,234
