site_numeric,GPP_yr,NPP_yr,wetland_cover,peatland_cover,nee_yr
154,1314.8189949174323,700.8646902572484,0,0.01693040524835304,38.420802402496335
157,1348.6437865287178,848.5671633639301,0,0,28.61650037765503
159,1336.442682926829,817.3487804878049,0,0,28.61650037765503
160,1306.3409112537631,809.4713497900365,0,0,13.909307312965392
164,1229.1293809697074,763.7692790554044,0,0,14.722615003585815
165,1226.4594814026852,651.8244646534245,0,0,-13.618844556808456
166,1106.6254133415864,601.4025754526958,0,0,-3.5719284772872992
167,1193.7793621937958,628.2609846684574,0,0,-15.075390577316284
168,1193.7793621937958,628.2609846684574,0,0,-15.075390577316284
169,1310.9562927073812,816.5076467937537,0,0,13.909307312965392
173,1241.519097356167,760.8977194164628,0,0.02785553767986575,14.722615003585815
174,1386.7652956835952,723.2015960846096,0,0.12398435412328168,18.284780216217047
175,1386.7652956835952,723.2015960846096,0,0.12398435412328168,18.284780216217047
176,1192.5202702702704,695.8013513513513,0,0,13.909307312965392
177,1230.6789931216215,654.4161839549434,0,0,-3.5719284772872992
178,1230.6789931216215,654.4161839549434,0,0,-3.5719284772872992
179,1400.1447348068514,729.1916669371915,0,0,18.284780216217047
180,1193.619639497461,628.2668038033302,0,0.2094364956107725,-15.075390577316284
181,1193.619639497461,628.2668038033302,0,0.2094364956107725,-15.075390577316284
182,1193.1244790500984,627.9660425969009,0,0.8900415784682715,19.61141822338105
183,1211.1416171833146,636.64436350393,0,0.6460731523673624,19.61141822338105
184,1211.1416171833146,636.64436350393,0,0.6460731523673624,19.61141822338105
185,1282.0108499627245,670.7794696715823,0,0.8900415784682715,19.61141822338105
187,1282.0108499627245,670.7794696715823,0,0.8900415784682715,19.61141822338105
188,1282.0108499627245,670.7794696715823,0,0.8900415784682715,19.61141822338105
193,1211.142377688332,636.6505481890184,0,0.5999501410326018,-17.954638481140137
194,1077.9127272727274,592.7727272727274,0,0.2578164425670398,19.61141822338105
195,1077.9127272727274,592.7727272727274,0,0.2578164425670398,19.61141822338105
196,1077.9127272727274,592.7727272727274,0,0.2578164425670398,19.61141822338105
198,1354.4526026359142,697.5991752718301,0,0,-14.870049953460692
199,1354.4526026359142,697.5991752718301,0,0,-14.870049953460692
200,1354.4526026359142,697.5991752718301,0,0,-14.870049953460692
201,1354.4526026359142,697.5991752718301,0,0,-14.870049953460692
202,1284.7056253039364,671.2937071817889,0,0,-22.601185607910136
203,1284.7056253039364,671.2937071817889,0,0,-22.601185607910136
204,1284.7056253039364,671.2937071817889,0,0,-22.601185607910136
205,1284.7160860585,671.2993466695971,0,0,-22.601185607910136
206,1181.6408072324375,634.3260668156217,0,0.2026853543430967,-17.954638481140137
208,1329.9876372395754,687.841175925579,0,0,-14.870049953460692
209,1348.2413618294656,747.6072788212125,0,0.28885874677398127,-9.707381820678693
210,1348.2413618294656,747.6072788212125,0,0.28885874677398127,-9.707381820678693
211,1233.0723286577363,654.9212690386178,0,0.2998870469091147,-9.707381820678693
212,1233.0723286577363,654.9212690386178,0,0.2998870469091147,-9.707381820678693
213,1348.2413618294656,747.6072788212125,0,0.28885874677398127,-9.707381820678693
214,1246.0859649122808,639.4824561403509,0,0.23406536519345633,-19.600211191177355
215,1348.2413618294656,747.6072788212125,0,0.28885874677398127,-9.707381820678693
216,1348.2413618294656,747.6072788212125,0,0.28885874677398127,-9.707381820678693
217,1806.2236943481555,1206.4404475464592,0,0,-4.049520516395568
218,1409.120579743636,732.7087473527689,0,0,-20.548387050628666
219,1346.6921138042137,748.0056239946709,0,0,-9.707381820678693
221,1309.725,702.2777777777777,0,0,-14.870049953460692
222,1309.725,702.2777777777777,0,0,-14.870049953460692
223,1347.9663541515004,748.5059810112512,0,0,9.49642734527588
224,1367.319051142126,701.5535695421646,0,0,-38.38699417114256
225,1367.319051142126,701.5535695421646,0,0,-38.38699417114256
229,2275.425956106858,1503.2182460084805,0,0,19.51635274887085
230,1355.5052832544177,707.3188850459287,0,0,-36.45815029144286
231,1355.5052832544177,707.3188850459287,0,0,-36.45815029144286
232,1355.5052832544177,707.3188850459287,0,0,-36.45815029144286
236,1193.556209753622,663.3304518453665,100,0,-20.142547225952143
237,1193.556209753622,663.3304518453665,100,0,-20.142547225952143
240,1450.3718319486286,748.0365678830162,50,0,-20.142547225952143
242,1404.6613505747127,751.3630028735633,0,0.6354128451747568,9.49642734527588
250,1533.2433142073824,753.1707482889926,0,2.2106349710288087,-20.142547225952143
254,1037.2265946456782,425.7349412659439,0,0,-24.77776641845704
257,1392.275957152698,727.7721469483712,0,0,-26.25770659446717
258,1392.275957152698,727.7721469483712,0,0,-26.25770659446717
264,1352.821333333333,755.5680000000001,0,0,-4.38426990509033
266,1368.6366060133496,765.7212476869116,0,0,-12.95435943603517
267,1368.6366060133496,765.7212476869116,0,0,-12.95435943603517
268,1352.821333333333,755.5680000000001,0,0,-4.38426990509033
269,1352.821333333333,755.5680000000001,0,0,-4.38426990509033
276,3190.608174576591,2046.0658121216604,0,2.3018815935053047,37.78983039855957
298,2346.070775481507,948.834676464415,0,0,5.241665005683899
308,2329.83227010485,948.9288339282452,0,0,5.241665005683899
311,2327.448200578683,948.4070332678316,0,0,5.241665005683899
316,2967.303151245463,1769.439166359662,100,1.2672463314683695,14.579063963890077
319,2249.0847159469936,930.9770796406532,0,0.3691421533397316,-34.608994483947754
323,2243.5995539977744,1073.2069048373207,0,0.1915441638692144,-23.574218559265137
324,1333.7196489078988,896.7276210670685,0,0,-21.120968532562262
328,3562.170588235295,2177.6156862745097,0,0.6551563753435196,-21.120968532562262
337,1431.5209879716838,810.6548702512229,0,0,-19.059543800354
340,2255.470105067521,931.3984354206352,0,1.768243541397626,-34.608994483947754
342,1444.9188556397564,595.5238656215304,100,2.883353545092875,-2.5083691120147704
343,1478.2907342048595,685.339688895387,100,0,-2.5083691120147704
346,2407.144977743066,1220.441146455663,0,0,-22.920870399475096
347,1935.2326034451803,748.1041686685666,0,2.069799316516965,-3.928152084350586
350,2407.8650648143575,1218.5451947518086,0,0.6991541200311092,-24.04563331604004
351,2408.312969652235,1217.676282639785,0,4.284882466793882,-24.04563331604004
352,2893.76038115034,1217.197260158718,0,1.2839433132262,1.0474376678466797
353,2410.9810548114824,1213.3914873799906,0,0.5201746218481742,-24.04563331604004
