Ref	Extractor	Site name	day	month	year	time	Measurement	Latitude	Longitude	LakeType	Elevation	Climate	Watershed area	Watershed LULC	Surface area_m2	Circumference	Volume	Mean depth	Max depth	CO2	CO2_units	CO2_avg_n	CO2_uncert_val	CO2_uncert_text	CO2_method_cat	CO2_method	CO2_instrument	CH4	CH4_units	CH4_avg_text	CH4_avg_n	CH4_uncert_val	CH4_uncert_text	CH4_instrument	N2O	N2O_avg_text	N2O_uncert_val	N2O_uncert_text	N2O_n	N2O_units	N2O_instrument	F_CO2	FCO2_avg_text	F_CO2_uncert_val	F_CO2_uncert_text	F_CO2_n	F_CO2_method	F_CO2_units	FCH4_diff_avg_val	FCH4_diff_avg_text	FCH4_diff_avg_n	FCH4_diff_uncert_val	FCH4_diff_uncert_text	F_CH4_method	F_CH4_units	FCH4_ebb_avg_val	FCH4_ebb_avg_text	FCH4_ebb_avg_n	FCH4_ebb_uncert_val	FCH4_ebb_uncert_text	F_CH4_methods	FN2O_avg_val	FN2O_avg_text	FN2O_avg_n	FN2O_uncert_val	FN2O_uncert_text	FN2O_UNITS	Max depth	Mean depth	Secchi depth	Sample depth	Stratification	Residence_time	Temperature	DO_mg	pH	Conductivity	k	k600	k_units	Trophic level index	Comments							
138	Jilong Wang	Danjiangkou Reservoir	1	7	2008		8 years averages	32.74	111.57	reservoir	157	14	95000		745000000		17500000000			595	µatm			SD	indirect	alkalinity-pH-temperature method	CO2SYS															9	mean	NA	NA		Diffusive flux using the gas transfer equation	mmol/m2/d																							0.5			29				4.2		cm/h		hydroelectric reservoir 							
141	Jilong Wang	Samuel reservoir 	1	7	2000		monthly	-8.750245	-63.448053	reservoir		2			650000000																											10552.4	mean	7641.4	SD		Floating Chamber	mg/m2/d	16.3	mean		16.3	SD	Floating Chamber	mg/m2/d							9.6	mean		6.5	SD	mg/m2/d		20																				
141	Jilong Wang	Tucuru’ reservoir 	1	7	2000		monthly	-3.85	-49.61	reservoir		2			2875000000																											13737.4	mean	6170.7	SD		Floating Chamber	mg/m2/d	23.4	mean		23.4	SD	Floating Chamber	mg/m2/d							5.6	mean		4.1	SD	mg/m2/d		70																				
151	Alberto Borges	S1 dry	1	7	2014		monthly	-23.761048	-46.485653	reservoir	746	15	183		7400000		116000000																									29.9	mean	5.3	SD		Floating Chamber	mg/m2/d	0.25	mean		0.01	SD	Floating Chamber	mg/m2/d													12	5.5				0.68	20.2	9.43	7.75	145					Based on the DIC and pH reported in the paper I compute the pCO2 (=563ppm). I computed the diffusive flux with the Cole and Caraco (1998) relation and a wind of 1 m/s. The resulting flux is 3.5 mmol/m2/d. The reported flux by the authors is 1000 time higher. This gives the impression they mixed up units in the paper: mg/m2/d instead of g/m2/d. 							
151	Alberto Borges	S1 wet	1	7	2014		monthly	-23.761048	-46.485653	reservoir	746	15	183		7400000		116000000																									18.3	mean	3.2	SD		Floating Chamber	mg/m2/d	0.12	mean		0.01	SD		mg/m2/d																			29	9.3	9.38	130					Based on the DIC and pH reported in the paper I compute the pCO2 (=563ppm). I computed the diffusive flux with the Cole and Caraco (1998) relation and a wind of 1 m/s. The resulting flux is 3.5 mmol/m2/d. The reported flux by the authors is 1000 time higher. This gives the impression they mixed up units in the paper: mg/m2/d instead of g/m2/d. 							
151	Alberto Borges	S2 dry	1	7	2014		monthly	-23.72	-46.44	reservoir	746	15	183		7400000		116000000																									60.9	mean	7.8	SD		Floating Chamber	mg/m2/d	0.31	mean		0.03	SD	Floating Chamber	mg/m2/d																			24.4			217					Based on the DIC and pH reported in the paper I compute the pCO2 (=563ppm). I computed the diffusive flux with the Cole and Caraco (1998) relation and a wind of 1 m/s. The resulting flux is 3.5 mmol/m2/d. The reported flux by the authors is 1000 time higher. This gives the impression they mixed up units in the paper: mg/m2/d instead of g/m2/d. 							
151	Alberto Borges	S3 dry and wet	1	7	2014		monthly	-23.73	-46.44	reservoir	746	15	183		7400000		116000000																									3.5	mean	0.9	SD		Floating Chamber	mg/m2/d	0.045	single					mg/m2/d																											Based on the DIC and pH reported in the paper I compute the pCO2 (=563ppm). I computed the diffusive flux with the Cole and Caraco (1998) relation and a wind of 1 m/s. The resulting flux is 3.5 mmol/m2/d. The reported flux by the authors is 1000 time higher. This gives the impression they mixed up units in the paper: mg/m2/d instead of g/m2/d. 							
179	Alberto Borges	Malawi Lake	1	12	2013		annual	-12.11937	34.421778	lake		3			29500000000			264		380.42	µatm				direct	air-equilibrator device coupled with a gas analyser	"Li-Cor LI-820 infrared gas analyzer (IRGA),"															-2.21	mean	0.15	SD		Diffusive flux using the gas transfer equation	mmol/m2/d																																									
179	Alberto Borges	Malawi Lake	1	12	2013		annual	-12.23211	34.394854	lake		3			29500000000			264		369.42	µatm				direct	air-equilibrator device coupled with a gas analyser	"Li-Cor LI-820 infrared gas analyzer (IRGA),"															-2.07	mean	0.26	SD		Diffusive flux using the gas transfer equation	mmol/m2/d																																									
179	Alberto Borges	Malawi Lake	1	12	2013		annual	-12.86	34.62	lake		3			29500000000			264		376.37	µatm				direct	air-equilibrator device coupled with a gas analyser	"Li-Cor LI-820 infrared gas analyzer (IRGA),"															-2.69	mean	0.27	SD		Diffusive flux using the gas transfer equation	mmol/m2/d																																									
179	Alberto Borges	Malawi Lake	1	12	2013		annual	-13.61	34.77	lake		3			29500000000			264		392.25	µatm				direct	air-equilibrator device coupled with a gas analyser	"Li-Cor LI-820 infrared gas analyzer (IRGA),"															-1.79	mean	0.18	SD		Diffusive flux using the gas transfer equation	mmol/m2/d																																									
179	Alberto Borges	Malawi Lake	1	12	2013		annual	-14.157517	35.112017	lake		3			29500000000			264		429.79	µatm				direct	air-equilibrator device coupled with a gas analyser	"Li-Cor LI-820 infrared gas analyzer (IRGA),"															-2.25	mean	1.31	SD		Diffusive flux using the gas transfer equation	mmol/m2/d																																									
199	Jilong Wang	 Dalongdong Reservoir	1	7	2017		3 years averages	23.595059	108.581425	reservoir		14			8790000		151000000			1277.2	ppmv				indirect	alkalinity-pH-temperature method	CO2SYS															49.1	mean				Floating Chamber	mmol/m2/d																					11		0.1	yes			9.93	8.3						This study has only one sampling site with continueous measuring							
267	Jilong Wang	Lake Taihu	1	7	2008		annual	31.21	120.3	lake		14	36500	urban	2400000000					778	µatm		169	SD	indirect	"calculatedusing measured alkalinities, pH and the temperature-dependent Henry's Law constant KCO2."					_	_	_	_								18.2	mean	8.4	SD		Diffusive flux using the gas transfer equation	mmol/m2/d																										17.9		8.18						 This is the annual average from multiple points throughout the lake							
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:00:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2986.622374	µatm				direct	headspace + GC		67.22481595	µatm					BrŸel and Kjaer type 1312																																					0																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:16:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2949.250314	µatm				direct	headspace + GC		181.0244209	µatm					BrŸel and Kjaer type 1312																																					0.5																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:32:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							3264.219339	µatm				direct	headspace + GC		193.8184593	µatm					BrŸel and Kjaer type 1312																																					1																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	1:01:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							3036.451787	µatm				direct	headspace + GC		218.0597953	µatm					BrŸel and Kjaer type 1312																																					3																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	1:09:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							6515.925211	µatm				direct	headspace + GC		626.9639971	µatm					BrŸel and Kjaer type 1312																																					5.5																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	1:27:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							15741.60532	µatm				direct	headspace + GC		4718.531155	µatm					BrŸel and Kjaer type 1312																																					6																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	1:51:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							19938.55495	µatm				direct	headspace + GC		8009.629197	µatm					BrŸel and Kjaer type 1312																																					7																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:00:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							1929.767463	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	168.2303825	µatm					BrŸel and Kjaer type 1312																																					0																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:02:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2434.795295	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	119.0743401	µatm					BrŸel and Kjaer type 1312																																					0																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:03:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2385.807596	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	170.9238642	µatm					BrŸel and Kjaer type 1312																																					0																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:06:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2387.491022	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	223.1100736	µatm					BrŸel and Kjaer type 1312																																					0																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:08:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2389.174448	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	224.7934997	µatm					BrŸel and Kjaer type 1312																																					0																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:09:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2491.19007	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	226.4769258	µatm					BrŸel and Kjaer type 1312																																					0.5																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:12:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2392.372957	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	177.8259113	µatm					BrŸel and Kjaer type 1312																																					0.5																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:13:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2393.888041	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	179.3409948	µatm					BrŸel and Kjaer type 1312																																					0.5																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:16:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2395.571467	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	182.5395044	µatm					BrŸel and Kjaer type 1312																																					0.5																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:18:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2397.254893	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	233.8840007	µatm					BrŸel and Kjaer type 1312																																					0.5																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:19:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2398.433291	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	84.73244748	µatm					BrŸel and Kjaer type 1312																																					0.5																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:21:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2400.28506	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	86.5842162	µatm					BrŸel and Kjaer type 1312																																					1																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:23:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2049.627402	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	88.43598492	µatm					BrŸel and Kjaer type 1312																																					1																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:25:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2202.145807	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	190.4516071	µatm					BrŸel and Kjaer type 1312																																					1																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:27:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2253.995331	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	191.9666906	µatm					BrŸel and Kjaer type 1312																																					1																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:29:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2306.013198	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	145.1674448	µatm					BrŸel and Kjaer type 1312																																					1																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:31:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2307.528282	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	146.5141857	µatm					BrŸel and Kjaer type 1312																																					1																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:34:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2510.717813	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	198.700395	µatm					BrŸel and Kjaer type 1312																																					1																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:36:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2613.07012	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	200.3838212	µatm					BrŸel and Kjaer type 1312																																					1																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:38:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							1859.736937	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	201.8989047	µatm					BrŸel and Kjaer type 1312																																					1																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:39:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2565.765847	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	203.7506734	µatm					BrŸel and Kjaer type 1312																																					1																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:41:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2869.455917	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	204.5923864	µatm					BrŸel and Kjaer type 1312																																					1																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:44:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2921.473783	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	206.2758125	µatm					BrŸel and Kjaer type 1312																																					1																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:45:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2922.988867	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	208.2959239	µatm					BrŸel and Kjaer type 1312																																					3																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:48:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2924.672293	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	209.3059795	µatm					BrŸel and Kjaer type 1312																																					3																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:49:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2775.184055	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	211.1577482	µatm					BrŸel and Kjaer type 1312																																					3																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:51:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2676.198599	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	213.009517	µatm					BrŸel and Kjaer type 1312																																					3																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:53:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2828.717005	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	264.8590411	µatm					BrŸel and Kjaer type 1312																																					3																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:55:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							3031.738194	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	266.5424672	µatm					BrŸel and Kjaer type 1312																																					3																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:57:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2932.584396	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	219.4065362	µatm					BrŸel and Kjaer type 1312																																					5.5																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	12:59:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2934.267822	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	321.590501	µatm					BrŸel and Kjaer type 1312																																					5.5																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	1:03:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							2987.800772	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	373.7767104	µatm					BrŸel and Kjaer type 1312																																					5.5																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	1:05:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							5757.710092	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	475.7923326	µatm					BrŸel and Kjaer type 1312																																					5.5																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	1:07:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							6262.737924	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	477.8124439	µatm					BrŸel and Kjaer type 1312																																					5.5																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	1:12:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							6467.779224	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	479.3275274	µatm					BrŸel and Kjaer type 1312																																					5.5																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	1:13:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							6670.295385	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	531.1770515	µatm					BrŸel and Kjaer type 1312																																					5.5																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	1:15:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							6671.978811	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	1690.215927	µatm					BrŸel and Kjaer type 1312																																					6																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	1:17:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							9995.735321	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	4510.964715	µatm					BrŸel and Kjaer type 1312																																					6																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	1:19:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							15332.53277	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	5116.493087	µatm					BrŸel and Kjaer type 1312																																					6																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	1:21:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							15082.71234	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	5470.517597	µatm					BrŸel and Kjaer type 1312																																					6																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	1:23:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							16443.25732	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	5522.198779	µatm					BrŸel and Kjaer type 1312																																					6																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	1:25:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							16595.77572	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	5273.893428	µatm					BrŸel and Kjaer type 1312																																					6																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	1:27:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							15187.92647	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	6231.762884	µatm					BrŸel and Kjaer type 1312																																					6																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	1:29:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							15189.44155	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	6837.291255	µatm					BrŸel and Kjaer type 1312																																					6																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	1:31:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							16349.1538	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	7191.315766	µatm					BrŸel and Kjaer type 1312																																					6																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	1:33:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							16853.84495	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	7041.99587	µatm					BrŸel and Kjaer type 1312																																					6																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	1:35:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							16956.19725	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	6842.004848	µatm					BrŸel and Kjaer type 1312																																					6																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	1:37:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							16555.3735	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	7145.694918	µatm					BrŸel and Kjaer type 1312																																					6																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	1:39:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							16254.54525	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	7600.219968	µatm					BrŸel and Kjaer type 1312																																					7																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	1:41:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							16256.22868	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	7652.069492	µatm					BrŸel and Kjaer type 1312																																					7																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	1:42:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							16407.90537	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	8358.60343	µatm					BrŸel and Kjaer type 1312																																					7																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	1:45:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							16309.92997	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	8209.451876	µatm					BrŸel and Kjaer type 1312																																					7																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	1:47:00 PM	spot 	5.062728	-53.046628	reservoir		1	6500							18073.31882	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	8764.477465	µatm					BrŸel and Kjaer type 1312																																					7																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	0.575694444	spot 	5.062728	-53.046628	reservoir		1	6500							18980.68549	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	8614.989226	µatm					BrŸel and Kjaer type 1312																																					7																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	0.576388889	spot 	5.062728	-53.046628	reservoir		1	6500							19183.36999	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312	8717.341533	µatm					BrŸel and Kjaer type 1312																																					7																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	0.578472222	spot 	5.062728	-53.046628	reservoir		1	6500							18178.70129	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312																																												7																		
5	Nick Marzolf	Petit Saut Reservoir	1	12	2003	0.579861111	spot 	5.062728	-53.046628	reservoir		1	6500							18784.22966	µatm				direct	in situ equilibrator	BrŸel and Kjaer type 1312																																												7																		
237	Lishan Ran	Gold Creek reservoir s1	15	8	2013			-27.456575	152.875031	reservoir	92	14	10.5	"steep, forested"			820000																																258535			37087		calculated from k and concentration	_mol/m2/d							0.73			0.06	SE	_mol/m2/d		1.7																				
237	Lishan Ran	Gold Creek reservoir s2	15	8	2013			-27.45955	152.875654	reservoir	92	14	10.5	"steep, forested"			820000																																21381			6695		calculated from k and concentration	_mol/m2/d							1.24			0.08	SE	_mol/m2/d		1.7																				
237	Lishan Ran	Gold Creek reservoir s3	15	8	2013			-27.461103	152.878446	reservoir	92	14	10.5	"steep, forested"			820000																																20452			4164		calculated from k and concentration	_mol/m2/d							1.4			0.06	SE	_mol/m2/d		1.7																				
237	Lishan Ran	Gold Creek reservoir s4	15	8	2013			-27.458225	152.87909	reservoir	92	14	10.5	"steep, forested"			820000																																6726			2686		calculated from k and concentration	_mol/m2/d							1.2			0.15	SE	_mol/m2/d		1.7																				
237	Lishan Ran	Gold Creek reservoir d5	15	8	2013			-27.457947	152.874433	reservoir	92	14	10.5	"steep, forested"			820000																																28597			5411		calculated from k and concentration	_mol/m2/d							1.1			0.1	SE	_mol/m2/d		7.9																				
237	Lishan Ran	Gold Creek reservoir d6	15	8	2013			-27.458931	152.876903	reservoir	92	14	10.5	"steep, forested"			820000																																30274			13023		calculated from k and concentration	_mol/m2/d							0.87			0.05	SE	_mol/m2/d		7.9																				
237	Lishan Ran	Gold Creek reservoir d7	15	8	2013			-27.459989	152.87901	reservoir	92	14	10.5	"steep, forested"			820000																																6300			932		calculated from k and concentration	_mol/m2/d							1.17			0.08	SE	_mol/m2/d		7.9																				
237	Lishan Ran	Gold Creek reservoir d8	15	8	2013			-27.460808	152.881632	reservoir	92	14	10.5	"steep, forested"			820000																																15952			1896		calculated from k and concentration	_mol/m2/d							1.22			0.08	SE	_mol/m2/d		7.9																				
268	Lishan Ran	Lake Taihu	15	7	2014			31.195862	120.13869	lake	2	14	36500	Urban	2400000000																																		0.092			0.052		calculated from k and concentration	mmol/m2/d														1.9					17.9															
243	Vanessa Solano	Peri Lake	1	7	2007			-27.733	-48.5167	lake		14		Rainforest	5070000					441	µatm		198		indirect	alkalinity-pH-temperature method																-0.012	median				Diffusive model of Stumm & Morgan (1996)	mmol/m2/h																				2.7						22.3	9.5	6.96						"Four to six samples were collected monthly at different depths and sites, values are reported annually"							
243	Vanessa Solano	Peri Lake	1	7	2008			-27.733	-48.5167	lake		14		Rainforest	5070000					384	µatm		229		indirect	alkalinity-pH-temperature method																-0.06	median				Diffusive model of Stumm & Morgan (1996)	mmol/m2/h																				3						23.1	7.8	7.02						"Four to six samples were collected monthly at different depths and sites, values are reported annually"							
243	Vanessa Solano	Peri Lake	1	7	2009			-27.733	-48.5167	lake		14		Rainforest	5070000					218	µatm		122		indirect	alkalinity-pH-temperature method																-0.24	median				Diffusive model of Stumm & Morgan (1996)	mmol/m2/h																				2.9						23.3	8.2	7.12						"Four to six samples were collected monthly at different depths and sites, values are reported annually"							
243	Vanessa Solano	Peri Lake	1	7	2010			-27.733	-48.5167	lake		14		Rainforest	5070000					705	µatm		545		indirect	alkalinity-pH-temperature method																0.18	median				Diffusive model of Stumm & Morgan (1996)	mmol/m2/h																				2.9						22.3	8.2	7.1						"Four to six samples were collected monthly at different depths and sites, values are reported annually"							
243	Vanessa Solano	Peri Lake	1	7	2011			-27.733	-48.5167	lake		14		Rainforest	5070000					648	µatm		473		indirect	alkalinity-pH-temperature method																0.018	median				Diffusive model of Stumm & Morgan (1996)	mmol/m2/h																				3.1						22.2	7.8	7.12						"Four to six samples were collected monthly at different depths and sites, values are reported annually"							
243	Vanessa Solano	Peri Lake	1	7	2012			-27.733	-48.5167	lake		14		Rainforest	5070000					1001	µatm		701		indirect	alkalinity-pH-temperature method																0.7	median				Diffusive model of Stumm & Morgan (1996)	mmol/m2/h																				2.8						23.3	7.7	7.03						"Four to six samples were collected monthly at different depths and sites, values are reported annually"							
243	Vanessa Solano	Peri Lake	1	7	2013			-27.733	-48.5167	lake		14		Rainforest	5070000					1492	µatm		835		indirect	alkalinity-pH-temperature method																1.4	median				Diffusive model of Stumm & Morgan (1996)	mmol/m2/h																				2.7						22.6	8	6.91						"Four to six samples were collected monthly at different depths and sites, values are reported annually"							
243	Vanessa Solano	Peri Lake	1	7	2014			-27.733	-48.5167	lake		14		Rainforest	5070000					1013	µatm		698		indirect	alkalinity-pH-temperature method																0.9	median				Diffusive model of Stumm & Morgan (1996)	mmol/m2/h																				2.6						23	7.7	7.04						"Four to six samples were collected monthly at different depths and sites, values are reported annually"							
