Refs,Site,LakeIndex,Latitude,Longitude,LakeType,LakeArea_km2,Climate,k600_md,MeasFreq,ReportedFreq,DirectIndirect_CO2,FluxMethod,CO2_uM,n_CO2,F_CO2_mmol_m2_d,n_FCO2,F_CO2_measmod_mmol_m2_d,CH4_uM,n_CH4,F_CH4_diff_mmol_m2_d,n_FCH4diff,F_CH4_measmod_mmol_m2_d,F_CH4_eb_mmol_m2_d,n_FCH4eb,N2O_uM,n_N2O,F_N2O_mmol_m2_d,n_FN2O,F_N2O_measmod_mmol_m2_d,Temp_C,DO_mgL,pH,Cond_uScm
54; 77,Lake Kariba - close to dam wall - artificial reservoir - surface; Lake Kariba: Charara Bay; Lake Kariba: Charara River; Lake Kariba: Gache Gache Bay; Lake Kariba: Gache Gache River; Lake Kariba: Lufua River,13,-16.62972308,28.78652615,reservoir,5276.89,3,1.457749567,seasonal,seasonal,direct,measured,24.8288166,4,,0,10.47942656,,0,40.10286783,4,40.10286783,33.42394015,5,,0,,0,,,,,
102,Lake Apopka,14,28.617,-81.633,lake,123.31,4,1.48771533,seasonal,seasonal,direct,undefined,6.248098836,9,,0,-14.11530667,,0,,0,,,0,,0,,0,,24.03333333,,9.017777778,
214,"Itaparica hydropower reservoir, deep bay; Itaparica hydropower reservoir, littoral bay; Itaparica hydropower reservoir, main-stream",15,-8.817274,-38.417239,reservoir,687.51,3,1.266801289,seasonal,annual,direct,measured,74.66666667,3,239.3084117,3,239.3084117,5.333333333,3,10.13792912,3,10.13792912,0.022201871,3,,0,,0,,,6.7,7.566666667,
158; 215,Serra da Mesa; Serra da Mesa hydroelectric reservoir,16,-13.93731986,-48.31243043,reservoir,922.61,2,1.053863738,seasonal,seasonal,,measured,,0,154.1506,7,154.1506,,0,0.825552767,7,0.825552767,,0,,0,,0,,29.68,,7.51,
158,Trs Marias,17,-18.219825,-45.263104,reservoir,799.76,2,0.936649955,seasonal,seasonal,,measured,,0,58.21517775,4,58.21517775,,0,0.617767047,4,0.617767047,,0,,0,,0,,,,,
215,Itumbiara hydroelectric reservoir,18,-18.319979,-48.950345,reservoir,333.17,2,1.14282949,seasonal,seasonal,,measured,,0,116.314767,3,116.314767,,0,1.192795493,3,1.192795493,,0,,0,,0,,27.05333333,,7.025,
212; 216,Mascarenhas de Moraes hydroelectric reservoir; Peixoto Reservoir,19,-20.27555557,-47.05666667,reservoir,250.1,2,1.129640791,seasonal,seasonal,direct,modelled,151.9217557,3,13,1,13,0.068890274,2,,0,0.075773478,,0,,0,,0,,22.52,8.33,,
212; 215; 216; 67,Furnas Hydroelectrical Reservoir S1-I; Furnas Hydroelectrical Reservoir S1-R; Furnas Hydroelectrical Reservoir S2-F; Furnas Hydroelectrical Reservoir S2-I; Furnas Hydroelectrical Reservoir S2-R; Furnas Hydroelectrical Reservoir S3-F; Furnas Hydroelectrical Reservoir S3-I; Furnas Hydroelectrical Reservoir S3-R; Furnas Hydroelectrical Reservoir S4-F; Furnas Hydroelectrical Reservoir S4-I; Furnas Hydroelectrical Reservoir S4-R; Furnas Reservoir; Furnas hydroelectric reservoir,20,-20.69607035,-46.05862412,reservoir,928.08,4,1.110316129,seasonal,seasonal,direct,measured,200.7933928,3,24.50168595,4,24.50168595,0.148043353,13,0.529731467,14,0.529731467,26.42830424,10,,0,,0,,23.402,8.33,7.295,
1,"Promisso reservoir, site PRO-DAM; Promisso reservoir, site PRO-MID; Promisso reservoir, site PRO-UPS",21,-21.316667,-49.766667,reservoir,511.18,2,1.365517549,seasonal,seasonal,,measured,,0,-0.058333333,6,-0.058333333,,0,0.346666667,6,0.346666667,,0,,0,0.015,6,0.015,25,,8.141666667,
1,"Barra Bonita reservoir, site BB-DAM; Barra Bonita reservoir, site BB-MID; Barra Bonita reservoir, site BB-UPS",22,-22.516667,-48.533333,reservoir,209.62,2,1.247907034,seasonal,seasonal,,measured,,0,0.09,6,0.09,,0,0.855,6,0.855,,0,,0,0.485,6,0.485,24.04666667,,7.546666667,
334,Bonete,23,-32.688379,-56.017988,reservoir,718.48,4,1.804196517,monthly,monthly,,measured,,0,64,2,64,,0,0.165,2,0.165,,0,,0,-0.025,2,-0.025,,,,
334,Palmar,24,-33.122525,-57.250311,reservoir,220.93,4,1.623375256,monthly,monthly,,measured,,0,-29.05,2,-29.05,,0,0.3,2,0.3,,0,,0,0.01,2,0.01,,,,
94,Lake Kinneret,25,32.790955,35.588314,lake,162.06,,1.365526455,monthly,monthly,,measured,,0,,0,,,0,,0,,2.655,20,,0,,0,,,,,
138,Danjiangkou Reservoir,26,32.74,111.57,reservoir,286.45,4,0.804841659,seasonal,annual,indirect,modelled,18.24503732,1,9,1,9,,0,,0,,,0,,0,,0,,29,,,
1008; 1085; 1127; 1141; 1147; 1174; 1197; 1213; 1224; 134; 281,Chao Lake; Chaohu Lake- C1; Chaohu Lake- C2; Chaohu Lake- C3; Chaohu Lake- C4; Chaohu Lake- C5; Chaohu Lake- C6; Chaohu Lake- C7; Lake Chaohu 1; Lake Chaohu 10; Lake Chaohu 11; Lake Chaohu 12; Lake Chaohu 13; Lake Chaohu 14; Lake Chaohu 15; Lake Chaohu 16; Lake Chaohu 17; Lake Chaohu 18; Lake Chaohu 19; Lake Chaohu 2; Lake Chaohu 20; Lake Chaohu 3; Lake Chaohu 4; Lake Chaohu 5; Lake Chaohu 6; Lake Chaohu 7; Lake Chaohu 8; Lake Chaohu 9; Zhongmiao,27,31.56726784,117.4810806,lake,786.91,4,1.445014703,daily,daily,direct,measured,35.59552636,21,1.165461302,38,1.165461302,0.295494595,37,10.42635312,55,10.42635312,3.11962,12,0.272030967,26,0.123374073,26,0.123374073,20.43529412,10.72175925,8.483157895,
1141; 1224,Ge Lake,28,31.63,119.84,lake,161.56,4,1.3927113,single,single,direct,measured,31.4,1,17.25904731,2,17.25904731,0.48,1,9.676620449,2,9.676620449,,0,,0,,0,,27.55,7.82,8.5,
1085,Xiangcheng,29,31.485466,120.783346,reservoir,124.24,4,1.555668064,seasonal,annual,indirect,undefined,186.8816361,1,,0,250.6724131,,0,,0,,,0,,0,,0,,,,7.4,
1016; 1017; 1027; 1034; 1035; 1037; 1045; 1052; 1055; 1057; 1063; 1066; 1074; 1083; 1093; 1101; 1104; 1152; 1158; 1162; 1171; 1190; 1194; 1210; 1217; 325; 333,"Badong; Baidicheng; Baisuixi; Caotang; Changshou; Dongpo; Fengdu; Fengjie; Fuling; Guizhou; Guojiaba; Hanjiawan; Jichuanqiao; Kaixian; Majiashan; Maoping; Megutuo; Meixi; Mudong; Qingxizhen; Taipingxizhen; Three Gorges Dam (Daning Bay)	CJDN; Three Gorges Dam (Daning Bay)	DN01; Three Gorges Dam (Daning Bay)	DN02; Three Gorges Dam (Daning Bay)	DN03; Three Gorges Dam (Daning Bay)	DN04; Three Gorges Dam (Pengxi Bay)	CJPX; Three Gorges Dam (Pengxi Bay)	PX01; Three Gorges Dam (Pengxi Bay)	PX02; Three Gorges Dam (Pengxi Bay)	PX03; Three Gorges Dam (Pengxi Bay)	PX04; Three Gorges Dam (Pengxi Bay)	PX05; Three Gorges Dam (Shengnong Bay)	CJSN; Three Gorges Dam (Shengnong Bay)	SN01; Three Gorges Dam (Shengnong Bay)	SN02; Three Gorges Dam (Shengnong Bay)	SN03; Three Gorges Dam (Xiangxi Bay)	CJXX; Three Gorges Dam (Xiangxi Bay)	XX01; Wanzhou; Wushan; Xiangxi; Xiaojiang; Yaojiaba; Yunyang; Zhongxian; Zhuyi; Zigui; Zipingpu (All-autumn); Zipingpu (All-spring); Zipingpu (All-summer); Zipingpu (All-winter); Zipingpu (Ds); Zipingpu (Laz); Zipingpu (Riz); Zipingpu (Trz); Zipingpu (Z1); Zipingpu (Z2)",30,30.58405765,108.7618571,reservoir,852.97,4,1.00204038,fortnightly,fortnightly,direct,measured,71.0241343,183,114.8638399,307,114.8638399,0.250144908,115,1.222173842,280,1.222173842,,0,,0,,0,,20.84049721,7.933154504,7.964383554,
1085,Xijiakou,31,30.416,112.482,reservoir,128.23,4,1.162705626,seasonal,annual,indirect,undefined,30.862714,1,,0,15.0231122,,0,,0,,,0,,0,,0,,,,8.1,
1141,Liangzi Lake,32,30.25,114.52,lake,302.36,4,1.239079586,single,single,,measured,,0,-9.270620314,1,-9.270620314,,0,1.735660848,1,1.735660848,,0,,0,,0,,29.6,,8.9,
1141,Longgan Lake,33,29.93,116.16,lake,302.31,4,1.303529776,single,single,,measured,,0,40.73619632,1,40.73619632,,0,3.456359102,1,3.456359102,,0,,0,,0,,27.2,,7.6,
1141; 1224,Hong Lake,34,29.83,113.33,lake,215.13,4,1.209830226,single,single,direct,measured,51.37,1,43.19159155,2,43.19159155,0.68,1,40.98270224,2,40.98270224,,0,,0,,0,,18.8,3.05,7.2,
1014; 1084; 1095; 1207; 252; 274; 275; 337,NEP1; NEP2; NEP3; NEP4; NEP5; NWD1; NWD2; NWD3; Qiandao; SEP.1; SEP.2; SEP.3; SEP.4; SEP.5; SWP1; SWP2; SWP3; SWP4; SWP5; Xin'anjiang; Xin'anjiang Reservoir; Xinanjiang Reservoir,35,29.57075437,118.9624501,reservoir,424.57,4,1.385293525,monthly,monthly,direct,measured,607.6125899,49,485.6302577,29,485.6302577,,0,0.924546057,245,0.924546057,,0,,0,0.028311635,15,0.028311635,19.80428571,,7.6,
1091,Zhelin,36,29.216,115.49,reservoir,201.81,4,1.270061085,single,single,,modelled,,0,-0.078875066,1,-0.078875066,,0,0.007417443,1,0.007417443,,0,,0,,0,,31,,7.9,
176,Rana Pratan Sagar,37,24.84616,75.606926,reservoir,171.42,3,1.112948059,single,single,,undefined,,0,,0,,0.18,1,,0,0.185145758,,0,0.02924,1,,0,0.029833506,,,,
1010; 1053; 1085,Dian Lake; Dian Lake-1; Dian Lake-2; Dian Lake-3; Dian Lake-4; Dian Lake-5; Haigeng,38,24.94962275,102.6651205,lake,298.34,5,1.229381908,seasonal,seasonal,indirect,measured,40.80366904,1,-35.84714012,1,-35.84714012,,0,0.157904662,11,0.157904662,,0,,0,,0,,10.3,,8.35,
1008; 1122; 1191; 1200; 1201,Fuxian Lake,39,24.409,102.845,lake,215.37,5,1.200927444,seasonal,seasonal,indirect,measured,20.30082176,12,8.886148603,5,8.886148603,0.050433333,9,0.041882719,9,0.041882719,,0,,0,,0,,18.73846154,7.65,8.766923077,
177,"Rihand, Uttar Pradesh Reservoir",40,24.130552,82.89937,reservoir,398.8,4,0.987820937,seasonal,seasonal,,undefined,,0,,0,,0.0028,1,,0,1.09E-05,,0,,0,,0,,,,,
1108,Xinfengjiang,41,23.81,114.588,reservoir,264.53,4,1.128449662,seasonal,seasonal,,modelled,,0,22.035,2,22.035,,0,,0,,,0,,0,,0,,23.2,8.11,7.69,
176,Sardar Sarovar,42,21.830045,73.769844,reservoir,103.22,2,1.179858301,single,single,,undefined,,0,,0,,0.06,1,,0,0.063366755,,0,0.00901,1,,0,0.009426824,,,,
176,Hirakud,43,21.57256,83.822891,reservoir,500.81,2,1.002897493,single,single,,undefined,,0,,0,,0.04,1,,0,0.035033461,,0,0.009525,1,,0,0.008493336,,,,
176,Ukai,44,21.245248,73.643512,reservoir,370.3,2,1.210619371,single,single,,undefined,,0,,0,,0.03,1,,0,0.030925058,,0,0.01266,1,,0,0.013782514,,,,
59,Nam Ngum Reservoir,45,18.531451,102.64831,reservoir,436.93,1,0.984256257,seasonal,seasonal,direct,measured,75,1,-22.4,3,-22.4,0.1,1,0.3,3,0.3,,0,,0,,0,,30,7.5,7.333333333,88.33333333
176,Nagarjuna Sagar,46,16.56456,79.24298,reservoir,195.9,3,1.106182967,single,single,,undefined,,0,,0,,0.011,1,,0,0.008527256,,0,0.01058,1,,0,0.010453495,,,,
176,Sri Sailam,47,16.145212,78.87468,reservoir,536.42,3,1.209565713,single,single,,undefined,,0,,0,,0.0565,1,,0,0.060988107,,0,0.00798,1,,0,0.008505405,,,,
169; 292,George,48,-0.01185,30.2081,lake,260.7,2,1.25400794,seasonal,annual,direct,modelled,1.115304745,1,-9.4,1,-9.4,0.1815,2,0.092827705,1,0.092827705,,0,0.0054,1,-0.0011,1,-0.0011,25.8,,,
292,Tumba,49,-0.776,18.014,lake,744.89,1,0.899174414,seasonal,annual,direct,modelled,56.79132655,1,29,1,29,0.066,1,0.042073688,1,0.042073688,,0,0.0141,1,0.005375976,1,0.005375976,28.2,,,
54,ITT reservoir - close to dam wall - artificial reservoir - surface,50,-15.7604,26.00649,reservoir,328.54,4,1.576651482,seasonal,seasonal,direct,undefined,36.91295641,4,,0,29.43356183,,0,,0,,,0,,0,,0,,,,,
292,Kamohonjo,51,-16.156,45.831,lake,154.74,2,1.342199228,seasonal,annual,direct,modelled,15.98910473,1,7.6,1,7.6,0.874,1,1.053412418,1,1.053412418,,0,0.0053,1,0.000483075,1,0.000483075,35.9,,,
292,Alaotra,52,-17.476,48.521,lake,172.56,2,1.218549164,seasonal,annual,direct,modelled,78.50505287,1,32.1,1,32.1,0.033,1,0.021844935,1,0.021844935,,0,0.0065,1,-0.000637003,1,-0.000637003,23.6,,,
173,lake Wivenhoe,53,-27.331024,152.568873,reservoir,102.82,4,1.534831209,seasonal,seasonal,,measured,,0,,0,,0.113858499,4,0.170331176,4,0.170331176,,0,,0,,0,,22.95,11.0125,7.875,
324,Valle de Bravo,54,19.193654,-100.153859,reservoir,17.02,5,1.070890852,monthly,monthly,direct,measured,,0,21.61666667,3,21.61666667,0.132,1,0.3815625,4,0.3815625,,0,,0,,0,,20.6025,,8.2975,
