Refs,Site,LakeIndex,Latitude,Longitude,LakeType,LakeArea_km2,Climate,k600_md,MeasFreq,ReportedFreq,DirectIndirect_CO2,FluxMethod,CO2_uM,n_CO2,F_CO2_mmol_m2_d,n_FCO2,F_CO2_measmod_mmol_m2_d,CH4_uM,n_CH4,F_CH4_diff_mmol_m2_d,n_FCH4diff,F_CH4_measmod_mmol_m2_d,F_CH4_eb_mmol_m2_d,n_FCH4eb,N2O_uM,n_N2O,F_N2O_mmol_m2_d,n_FN2O,F_N2O_measmod_mmol_m2_d,Temp_C,DO_mgL,pH,Cond_uScm
1152,Shizitan,81,29.949,107.3,reservoir,29.23,4,0.904885483,seasonal,seasonal,direct,measured,40.57333333,3,16.9,3,16.9,0.076033333,3,0.06921,3,0.06921,,0,,0,,0,,20.6,,,
1224,Chi Lake,82,29.788,115.705,lake,36.26,4,1.196834006,single,single,direct,modelled,30.67,1,35.6976,1,35.6976,0.26,1,1.2288,1,1.2288,,0,,0,,0,,14.7,7.02,,
1207,Fuchunjiang,83,29.624,119.613,reservoir,45.21,4,1.307051111,single,single,indirect,modelled,220.4561647,1,276.9,1,276.9,,0,,0,,,0,,0,,0,,18.7,,7.1,
1141,Datong Lake,84,29.2,112.52,lake,80.79,4,1.150278614,single,single,,measured,,0,15.26925699,1,15.26925699,,0,8.004987531,1,8.004987531,,0,,0,,0,,27.4,,8.1,
1207,Hunanzhen,85,28.582,118.993,reservoir,44.02,4,1.199859081,single,single,indirect,modelled,366.1248202,1,252.2,1,252.2,,0,,0,,,0,,0,,0,,19.1,,6.8,
1191,Qionghai Lake,86,27.841,102.2799,lake,25.85,4,1.02502699,single,single,,undefined,,0,,0,,0.39,1,,0,0.372589127,,0,,0,,0,,,,,
1091,Xiannv,87,27.728,114.791,reservoir,32.49,4,1.135561032,single,single,,modelled,,0,-1.183125994,1,-1.183125994,,0,0.058809727,1,0.058809727,,0,,0,,0,,34.8,,8.7,
1191,Lugu Lake,88,27.7093,100.778,lake,50.03,5,1.216508399,single,single,,undefined,,0,,0,,0.309,1,,0,0.349690081,,0,,0,,0,,,,,
1091,Hongmen,89,27.475,116.725,reservoir,34.89,4,1.135590449,single,single,,modelled,,0,2.760627319,1,2.760627319,,0,0.045829202,1,0.045829202,,0,,0,,0,,32.7,,8.5,
1099; 1100; 1154,Wujiangdu,90,27.27,106.61,reservoir,32.26,4,1.01430723,seasonal,seasonal,indirect,modelled,82.32706466,42,145.15075,36,145.15075,,0,,0,,,0,,0,,0,,18.98571429,9.25452381,7.992619048,
1191,Caohai Lake,91,26.84659,104.25954,lake,21.1,5,1.246886194,single,single,,undefined,,0,,0,,0.637,1,,0,0.742347835,,0,,0,,0,,,,,
1100; 1154,Dongfeng,92,26.817936,106.122607,reservoir,20.93,4,0.999947457,seasonal,seasonal,indirect,modelled,73.88646912,36,131.3158333,36,131.3158333,,0,,0,,,0,,0,,0,,18.28611111,9.864722222,8.028888889,
1018,Ertan,93,26.825069,101.775895,reservoir,65.43,4,1.027087295,seasonal,seasonal,,measured,,0,,0,,,0,0.178716896,22,0.178716896,,0,,0,,0,,,,,
1015; 1157; 153,Baihua; Baihua reservoir,94,26.652036,106.512528,reservoir,11.81,4,1.022343434,monthly,monthly,,measured,,0,17.96791444,12,17.96791444,0.226966667,9,0.16915,6,0.16915,,0,,0,,0,,18.215,12.2225,8.42,
1145,Gutian,95,26.6,118.8,reservoir,10.77,4,1.087617903,seasonal,seasonal,,modelled,,0,,0,,0.17,3,0.13856,3,0.13856,,0,,0,,0,,,,7.53,
1085; 1191,Chenghai Lake; Hekoujie,96,26.515825,100.65769,lake,74.75,4,1.03696772,seasonal,annual,indirect,undefined,30.77952609,1,,0,13.31652726,0.134,1,,0,0.127727474,,0,,0,,0,,,,9,
1015; 1041; 1061; 1081; 1103; 1154; 153,Hongfeng; Hongfeng reservoir,97,26.47456166,106.3905047,reservoir,43.39,4,1.063857241,fortnightly,fortnightly,indirect,modelled,52.90918794,138,62.54525821,143,62.54525821,0.6,3,,0,0.606422703,,0,,0,,0,,18.62858894,8.566031376,8.330474547,
1021; 1097,Wan'an,98,26.389,114.867,reservoir,67.54,4,1.137517751,seasonal,seasonal,,modelled,,0,45.45921818,55,45.45921818,,0,,0,,,0,,0,,0,,,,,
273,S1; S4; S7,99,26.33358167,118.7473033,reservoir,56.2,4,1.125034735,seasonal,seasonal,indirect,modelled,106.89,8,44.49583333,12,44.49583333,,0,,0,,,0,,0,,0,,,,,
1091,Doushui,100,25.834,114.401,reservoir,19.42,4,1.086089415,single,single,,modelled,,0,0.683583908,1,0.683583908,,0,0.009801621,1,0.009801621,,0,,0,,0,,30.3,,6.4,
1177,Yangzonghai,101,24.914,103.009,lake,30.55,5,1.119670567,single,single,,modelled,,0,,0,,0.14,1,0.03312,1,0.03312,,0,,0,,0,,,,,
301,Loktak Lake,102,24.552471,93.7928,lake,58.3,4,0.872035283,seasonal,seasonal,,measured,,0,,0,,,0,,0,,,0,,0,7.38E-06,3,7.38E-06,,,,
176,Rihand,103,24.416317,82.977996,reservoir,14.21,4,0.893180384,single,single,,undefined,,0,,0,,0.0025,1,,0,-0.000241684,,0,0.00862,1,,0,0.006812333,,,,
1191,Nebula Lake,104,24.33332,102.77975,lake,34.08,5,1.126620295,single,single,,undefined,,0,,0,,0.244,1,,0,0.255107004,,0,,0,,0,,,,,
1191,Qilu Lake,105,24.165,102.78,lake,36.12,5,1.123825376,single,single,,undefined,,0,,0,,0.224,1,,0,0.233374488,,0,,0,,0,,,,,
1064; 133; 199; 329,Dalongdong; Dalongdong Reservoir,106,23.58973826,108.5880651,reservoir,14.23,4,1.016612591,subdaily,monthly,indirect,measured,52.42911253,1,1326.609287,19,1326.609287,,0,0.339688619,1,0.339688619,,0,,0,,0,,26.68333333,9.487142857,8.201428571,
1032,Tsengwen,107,23.256947,120.554842,reservoir,11.86,4,1.226233758,seasonal,seasonal,,measured,,0,7.075736131,9,7.075736131,,0,0.495101712,9,0.495101712,,0,,0,,0,,28.23333333,,,
176; 177,"Koyna; Koyna,  Maharashtra Reservoir",108,17.473662,73.779697,reservoir,86.85,2,1.161611475,seasonal,seasonal,,undefined,,0,,0,,0.1137,3,,0,0.120944135,,0,0.0083,1,,0,0.008513936,,,,
176; 177,"Supa; Supa, Karnataka Reservoir",109,15.307319,74.43877967,reservoir,89.71,1,1.162912061,seasonal,seasonal,,undefined,,0,,0,,0.087466667,3,,0,0.092441285,,0,0.00806,1,,0,0.008263877,,,,
176; 177,"Selaulim, Goa Reservoir; Selaulium",110,15.193142,74.1857845,reservoir,14.33,1,1.214679987,seasonal,seasonal,,undefined,,0,,0,,0.1901,2,,0,0.213586231,,0,0.00863,1,,0,0.009275725,,,,
139,Mun River- S9 - Lamtakong reservoir,111,14.80230833,101.5279667,reservoir,26.89,2,0.902412884,single,single,indirect,modelled,17.87579276,1,,0,5.696622282,,0,11,1,11,,0,,0,,0,,28.8,11.8,8.5,344.3
139,Mun River- S2 - Mun Bon reservoir,112,14.469814,102.127136,reservoir,16.09,2,0.881027329,single,single,indirect,modelled,129.8003807,1,,0,126.2409502,,0,221,1,221,,0,,0,,0,,28.3,7.2,7,72.5
176; 177,Idukki; Idukki Kerala Reservoir,113,9.79025925,76.95745775,reservoir,39.08,1,1.140219025,seasonal,seasonal,,undefined,,0,,0,,0.107975,4,,0,0.112588928,,0,0.0166,1,,0,0.017159496,,,,
208; 235,Batang Ai Reservoir- downstream; Batang Ai Reservoir- hypoxic hypolimnion; Batang Ai Reservoir- mixed; Batang Ai Reservoir- oxic hypolimnion; Batang Ai Reservoir- upstream; E1; E2; E3; E4; E5; E6; P1; P11; P12; P13; P14; P2; P3; P4; P5; P6; P7; P8; P9; S1; S10; S11; S12; S13; S14; S15; S16; S17; S18; S19; S2; S20; S21; S22; S23; S24; S25; S26; S27; S28; S29; S3; S30; S31; S32; S33; S4; S5; S6; S7; S8; S9; SJ,114,1.179914454,111.9059731,reservoir,68.62,1,0.82606204,seasonal,seasonal,direct,measured,31.37763058,167,14.98438714,143,14.98438714,2.803906666,177,2.950185326,143,2.950185326,26.14093333,6,,0,,0,,30.13353659,7.038025894,,
183; 50,Gitaru 1; Gitaru Exit; Gitaru Inlet; Gitaru1; GitaruExit; GitaruInlet; GitaruIntake; Kamburu1; KamburuExit; KamburuInlet; KamburuIntake; Masinga 1; Masinga Bridge; Masinga Inlet; Masinga Mid; Masinga reservoir; Masinga1; Masinga3; Masinga4; MasingaBridge; MasingaInlet; MasingaIntake; MasingaMid; MasingaMilani; SaganaBridge,115,-0.89744841,37.48626243,reservoir,69.71,2,1.392868503,fortnightly,fortnightly,indirect,undefined,12.57514977,4,,0,-6.152052287,0.761307272,359,,0,0.995691415,,0,0.008894886,355,,0,0.01102627,30.7,111.25,8.235,
154,Lake Batur Drought; Lake Batur Dry; Lake Batur Wet; Lake Batur Wet transition,116,-8.25888,115.40825,lake,15.91,2,1.291076212,seasonal,seasonal,direct,modelled,8.844698208,4,-2.8,4,-2.8,,0,,0,,,0,,0,,0,,25.825,9.683675419,,1995.45
271; 332,University Lake,117,30.41360567,-91.16648917,reservoir,1.06,4,1.138777066,HF,daily,direct,modelled,25.89389439,48,4.352176456,46,4.352176456,,0,,0,,,0,,0,,0,,18.75,8.15,7.775,
7,lago de guadalupe,118,19.630509,-99.259286,reservoir,3.58,5,1.109930964,seasonal,seasonal,,measured,,0,94.98,3,94.98,,0,31.50666667,3,31.50666667,70,3,,0,,0,,18.93333333,,,
106,Fortuna,119,8.75,-82.18333,reservoir,6.97,1,1.169963078,seasonal,seasonal,,measured,,0,,0,,,0,,0,,,0,,0,0.007,1,0.007,,,,
314,Yaguarcocha,120,0.373842,-78.09935,lake,2.32,5,1.038301373,single,single,direct,modelled,11.34360902,1,-3.882928442,1,-3.882928442,0.212,1,0.124795269,1,0.124795269,,0,,0,-0.002282322,1,-0.002282322,,,,
314,Cuicocha,121,0.302055,-78.35376,lake,3.69,5,1.264704287,single,single,direct,modelled,509.5835381,1,342.9820573,1,342.9820573,226,1,0.140130793,1,0.140130793,,0,,0,-0.00195839,1,-0.00195839,,,,
314,San Pablo,122,0.206983,-78.21679,lake,5.98,5,1.201919047,single,single,direct,modelled,22.89148204,1,26.23482069,1,26.23482069,24.6385,1,1.249436495,1,1.249436495,,0,,0,-0.001400819,1,-0.001400819,,,,
314,Mojanda,123,0.1349,-78.26917,lake,2.87,5,1.412691594,single,single,direct,modelled,36.89075674,1,13.26223273,1,13.26223273,0.5812,1,0.404029358,1,0.404029358,,0,,0,-0.000235074,1,-0.000235074,,,,
127,Extremoz,124,-5.72,-35.2856,reservoir,3.03,2,1.282662156,monthly,monthly,indirect,undefined,144.6189791,13,,0,155.1847145,,0,,0,,,0,,0,,0,,,,,
127,Bonfim,125,-6.0344,-35.2139,reservoir,7.11,2,1.309492011,monthly,monthly,indirect,undefined,372.7458201,13,,0,442.2170559,,0,,0,,,0,,0,,0,,,,,
127,Gargalheiras,126,-6.4031,-36.5958,reservoir,2.99,3,1.037759778,monthly,monthly,indirect,undefined,34.49624299,14,,0,16.99080862,,0,,0,,,0,,0,,0,,,,,
75,Pampulha reservoir,127,-19.8525,-43.978333,reservoir,1.48,2,0.83519512,seasonal,seasonal,,measured,,0,,0,,,0,2.783665835,2,2.783665835,34.1521197,2,,0,,0,,22.35,,,
143; 144; 190,Chapu d'Uvas Reservoir,128,-21.55087085,-43.5736739,reservoir,4.3,4,0.944463883,daily,daily,direct,measured,20.33260478,4,6.15,4,6.15,0.016673687,4,1.925,4,1.925,28.28398293,37,,0,,0,,24.19171429,5.04,,
162,Lake Imboassica,129,-22.408254,-41.827176,lake,2.19,2,1.326128816,monthly,monthly,indirect,undefined,41.85473657,120,,0,30.98230565,,0,,0,,,0,,0,,0,,,,,
159; 326,Passauna (P1); Passauna (P2); Passauna (P3); Passauna (P4); Passana reservoir,130,-25.50680557,-49.38025871,reservoir,6.71,5,0.978644972,daily,annual,,measured,,0,,0,,,0,,0,,1.730495191,7,,0,,0,,20.33333333,2,,
243,Peri Lake,131,-27.733,-48.5167,lake,4.93,4,1.42880397,monthly,annual,indirect,modelled,29.51009711,10,12.1584,10,12.1584,,0,,0,,,0,,0,,0,,22.91,7.92,6.993,
1173; 1199,Shanhu; no name,132,32.479,118.7644286,reservoir,2.63,4,1.198212938,monthly,monthly,,measured,,0,52.56705163,28,52.56705163,,0,0.490566386,28,0.490566386,,0,,0,,0,,18.820625,10.11230769,8.28625,
1042; 1173; 1199,Taurus Lake; no name,133,32.47829825,118.9824386,reservoir,8.93,4,1.250314565,monthly,monthly,,measured,,0,8.978845415,57,8.978845415,,0,0.563180243,57,0.563180243,,0,,0,,0,,19.175625,9.703703704,8.140333333,
1031; 1089,Xuanwu Lake-1; Xuanwu Lake-10; Xuanwu Lake-2; Xuanwu Lake-3; Xuanwu Lake-4; Xuanwu Lake-5; Xuanwu Lake-6; Xuanwu Lake-7; Xuanwu Lake-8; Xuanwu Lake-9,134,32.075,118.803,lake,3.2,4,1.203767271,seasonal,seasonal,,measured,,0,89.22323133,20,89.22323133,,0,3.053325342,25,3.053325342,,0,,0,,0,,,,8.43,
266,Reservoir,135,31.975938,119.199161,reservoir,3.01,4,1.191119966,monthly,annual,direct,modelled,28,1,13,1,13,0.116,1,0.1,1,0.1,,0,,0,,0,,19.6,9.59,,
1191,Yulongla Tso,136,31.854,99.1136,lake,2.2,5,1.151453974,single,single,,undefined,,0,,0,,0.0418,1,,0,0.042168526,,0,,0,,0,,,,,
1085,Shahe,137,31.31139,119.439293,reservoir,9.05,4,1.235671675,seasonal,annual,indirect,undefined,93.17045734,1,,0,89.10628643,,0,,0,,,0,,0,,0,,,,7.5,
1178,Tianfumiao,138,31.213,111.37,reservoir,2.66,4,1.012848793,seasonal,seasonal,direct,modelled,25.919,4,8.607110149,4,8.607110149,0.14425,4,0.065469986,4,0.065469986,,0,,0,,0,,21.05,,,
1178; 1216,Xibeikou,139,31.057,111.336,reservoir,6.58,4,1.053172395,seasonal,seasonal,direct,modelled,18.56,4,-3.901423695,4,-3.901423695,0.1278,5,0.03780035,4,0.03780035,,0,,0,,0,,21.9,,,
1141,Nantaizi Lake,140,30.49,114.19,lake,2.78,4,1.068724473,single,single,,measured,,0,12.43353783,1,12.43353783,,0,299.2518703,1,299.2518703,,0,,0,,0,,29.3,,8.8,
1191,Cuoniba,141,30.328,99.561,lake,1.19,5,1.338929731,single,single,,undefined,,0,,0,,0.0891,1,,0,0.108486095,,0,,0,,0,,,,,
1141,Ce Lake,142,30.25,115.16,lake,8.65,4,1.135363705,single,single,,measured,,0,-8.289025222,1,-8.289025222,,0,1.735660848,1,1.735660848,,0,,0,,0,,30.4,,9.1,
1110; 1131; 1150,Wanfeng,143,29.947,105.041,reservoir,4.86,4,0.842954177,seasonal,seasonal,indirect,modelled,72.43919301,13,51.99599335,13,51.99599335,,0,,0,,,0,,0,,0,,25.93,,8,
1132,Shangyou,144,29.788,105.627,lake,2.8,4,0.85427638,single,single,indirect,modelled,5.799910025,1,-5.3,1,-5.3,,0,,0,,,0,,0,,0,,33.3,7.98,8.89,
1132,Hualong,145,29.77,105.764,lake,1.05,4,0.816297399,single,single,indirect,modelled,4.037095624,1,-6.8,1,-6.8,,0,,0,,,0,,0,,0,,35.2,7.94,8.98,
1132,Yutan,146,29.562,105.7,lake,1.18,4,0.815366131,single,single,indirect,modelled,2.977767741,1,-6.5,1,-6.5,,0,,0,,,0,,0,,0,,32,6.15,8.24,
1191,Xingyicuo Lake,148,29.402,100.09638,lake,3.22,5,1.438415047,single,single,,undefined,,0,,0,,0.24,1,,0,0.320307249,,0,,0,,0,,,,,
1211,Yankou,149,29.299741,119.913956,reservoir,3.54,4,1.118692243,monthly,monthly,direct,modelled,101.4126693,10,52.72666722,10,52.72666722,,0,,0,,,0,,0,,0,,26.42,8.613,8.363,
1207,Huangtankou,150,28.797345,118.869172,reservoir,7.47,4,1.141201746,single,single,indirect,modelled,669.6285033,1,335.2,1,335.2,,0,,0,,,0,,0,,0,,17.5,,6.1,
1191,Horse Lake,151,28.411,103.789,lake,9.19,4,0.932779503,single,single,,undefined,,0,,0,,0.0918,1,,0,0.077942207,,0,,0,,0,,,,,
1191,Shudu Lake,152,27.90987,99.9487,lake,1.68,5,1.227152963,single,single,,undefined,,0,,0,,0.204,1,,0,0.231791973,,0,,0,,0,,,,,
1191,Wenhai Lake,153,26.98,100.172,lake,1.41,5,1.095751009,single,single,,undefined,,0,,0,,0.755,1,,0,0.773745859,,0,,0,,0,,,,,
1091,Baiyunshan,154,26.806,115.322,reservoir,1.28,4,1.00297866,single,single,,modelled,,0,0.683583908,1,0.683583908,,0,0.012185799,1,0.012185799,,0,,0,,0,,32.4,,8.5,
1129; 180,"Aha; Aha Lake, China",155,26.54122633,106.6479977,reservoir,3.07,4,0.971611541,seasonal,seasonal,indirect,modelled,112.7829697,18,712.4948797,15,712.4948797,,0,,0,,,0,,0,,0,,17.34222222,9.422,7.998,
1191,Pianqiao,156,25.978,103.929,lake,4.65,5,1.165090575,single,single,,undefined,,0,,0,,0.0621,1,,0,0.064870435,,0,,0,,0,,,,,
1191,Huashan,157,25.77376,103.92651,lake,5.75,5,1.160772607,single,single,,undefined,,0,,0,,0.12,1,,0,0.127721692,,0,,0,,0,,,,,
1191,Hunshuihai,158,25.547,100.611,lake,1.56,5,0.97033392,single,single,,undefined,,0,,0,,0.0816,1,,0,0.071789108,,0,,0,,0,,,,,
1000,Dahanxi Lake,159,24.928,121.331,lake,1.22,4,1.220336651,single,single,,modelled,,0,,0,,,0,0.007992673,1,0.007992673,,0,,0,,0,,,,,
1062; 115,Fei-Tsui reservoir; Feicui,160,24.9099115,121.5815615,reservoir,7.61,4,1.305647694,fortnightly,fortnightly,,modelled,,0,,0,,0.036655612,56,0.022701672,56,0.022701672,,0,,0,,0,,24.42857143,4.148571429,,
1000,Shihmen Lake,161,24.8106,121.2442,lake,5.55,4,1.308091775,single,single,,modelled,,0,,0,,,0,1.03904754,1,1.03904754,,0,,0,,0,,,,,
1191,Wulanghaizi,162,24.643,103.921,lake,1.19,5,1.074596132,single,single,,undefined,,0,,0,,0.0618,1,,0,0.059529214,,0,,0,,0,,,,,
1191,Baishuitang,163,24.594,103.819,lake,2.88,5,1.09998111,single,single,,undefined,,0,,0,,0.102,1,,0,0.102445928,,0,,0,,0,,,,,
1191,Taiping,164,24.435,103.541,lake,7.6,4,1.0710686,single,single,,undefined,,0,,0,,0.122,1,,0,0.119862329,,0,,0,,0,,,,,
1191,Hongqi,165,24.134,103.987,lake,2.89,4,1.054294958,single,single,,undefined,,0,,0,,0.265,1,,0,0.259513903,,0,,0,,0,,,,,
1000,Wushe Lake,166,23.98623,121.135291,lake,2.54,5,1.236428262,single,single,,modelled,,0,,0,,,0,0.003996337,1,0.003996337,,0,,0,,0,,,,,
1000,Sun Moon Lake,167,23.8667,120.9167,lake,7.01,4,1.165191771,single,single,,modelled,,0,,0,,,0,0.01198901,1,0.01198901,,0,,0,,0,,,,,
1000,Renyi Lake,168,23.461,120.5023,lake,1.88,4,1.08932655,single,single,,modelled,,0,,0,,,0,0.03596703,1,0.03596703,,0,,0,,0,,,,,
278,Lianhe Reservoir,169,23.288966,113.912979,reservoir,2.44,4,0.998311395,seasonal,seasonal,,modelled,,0,-2.925,2,-2.925,,0,0.0045,2,0.0045,,0,,0,0.00315,2,0.00315,,8.165,8.2,42.25
1000,Wutoushan Lake,170,23.2022,120.3683,lake,5.59,4,1.223417858,single,single,,modelled,,0,,0,,,0,0.105902922,1,0.105902922,,0,,0,,0,,,,,
1179,South Lake,171,22.81,108.35,lake,1.16,4,1.746522103,weekly,weekly,,measured,,0,,0,,,0,1.42598005,10,1.42598005,,0,,0,,0,,,,,
1000,Longluan Lake,173,21.9779,120.7435,lake,1.02,1,1.359160401,single,single,,modelled,,0,,0,,,0,0.259761885,1,0.259761885,,0,,0,,0,,,,,
59,Nam Leuk Reservoir,174,18.45,102.95,reservoir,9.23,2,0.911927529,seasonal,seasonal,direct,measured,88,1,-0.566666667,3,-0.566666667,0.8,1,4.9,3,4.9,,0,,0,,0,,28,7.666666667,6.066666667,20
196,Bellandur Lake-BL1; Bellandur Lake-BL4; Bellandur Lake-BL6; Bellandur Lake-BLN1; Bellandur Lake-BLN2,175,12.9356,77.6722,reservoir,1.82,2,1.019500466,seasonal,seasonal,direct,undefined,570.3105487,12,,0,535.627986,333.0280576,13,,0,318.7212055,,0,,0,,0,,,,,
230,Kolavai Lake,176,12.70062,79.99527,lake,6.13,2,1.134526669,single,single,,measured,,0,8.83,1,8.83,2.51,1,1.4,1,1.4,,0,,0,,0,,23.5,,8.53,
230,Madhurandhagam Lake,177,12.53203,79.88517,lake,6.29,2,1.140678438,single,single,,measured,,0,1.82,1,1.82,1.72,1,2.3,1,2.3,,0,,0,,0,,26.4,,8.66,
230,Palar-Porunthalar Dam,178,10.38188,77.48873,reservoir,4.76,3,1.017174179,single,single,,measured,,0,3,1,3,0.28,1,0.06,1,0.06,,0,,0,,0,,29.6,,8.73,
230,Manimuthar Dam,179,8.64553,77.42357,reservoir,7.75,2,1.062291175,single,single,,measured,,0,-14.13,1,-14.13,0.01,1,0.01,1,0.01,,0,,0,,0,,33,,8.52,
70,Vellayani lake,180,8.433776,76.991665,lake,2.01,2,1.304021625,seasonal,seasonal,,measured,,0,,0,,0.278866667,30,7.391890767,30,7.391890767,,0,,0,,0,,22.5,,,
292,Yandja,181,0.714,24.281,lake,1.45,1,0.775964287,seasonal,annual,direct,modelled,26.67633052,1,,0,17.43155516,0.0971,1,0.810995065,1,0.810995065,,0,0.0011,1,-0.00013467,1,-0.00013467,34.9,,,
169; 292,Kyamwinga,182,-0.18425,30.14565,lake,3,2,1.06518077,seasonal,annual,direct,modelled,6.837146817,1,-5.5,1,-5.5,0.696,2,0.518866504,1,0.518866504,,0,0.0052,1,-0.001273831,1,-0.001273831,25.5,,,
169; 292,Nyamusingere,183,-0.2862,30.0338,lake,4.01,2,1.054235889,seasonal,annual,direct,modelled,7.902479389,1,-4.5,1,-4.5,0.4475,2,0.442990365,1,0.442990365,,0,0.0044,1,-0.001782761,1,-0.001782761,26.2,,,
292,Mbita,184,-1.215,29.014,lake,2.45,2,0.991863493,seasonal,annual,direct,modelled,9.370138405,1,,0,-6.209816518,0.0992,1,0.138457868,1,0.138457868,,0,0.0019,1,-4.23E-05,1,-4.23E-05,22.1,,,
292,Mbalukira,185,-1.226,29.025,lake,1.26,2,0.954033509,seasonal,annual,direct,modelled,14.29349637,1,,0,-1.474181358,0.224,1,0.201441301,1,0.201441301,,0,0.0019,1,0.00671049,1,0.00671049,21,,,
292,Lukulu,186,-1.261,29.029,lake,2.11,2,0.960209778,seasonal,annual,direct,modelled,80.39303165,1,,0,67.29598496,0.0692,1,1.207672935,1,1.207672935,,0,0.0018,1,-0.001585431,1,-0.001585431,22.8,,,
292,Ndalaga,187,-1.281,29.007,lake,3.59,2,1.001808792,seasonal,annual,direct,modelled,295.4181862,1,,0,294.8714043,0.063,1,4.312793745,1,4.312793745,,0,0.0018,1,-0.001953453,1,-0.001953453,22,,,
173,Lake Baroon,188,-26.709353,152.876136,reservoir,3.26,4,1.328872597,seasonal,seasonal,,measured,,0,,0,,0.284221547,4,0.32949898,4,0.32949898,,0,,0,,0,,23.825,10.1875,7.6,
277,Capitol Lake,189,30.459925,-91.185015,reservoir,0.23,4,1.052997339,fortnightly,fortnightly,direct,modelled,28.94679248,48,1123.65,48,1123.65,,0,,0,,,0,,0,,0,,,,,
314,Negra,190,0.114264,-78.27318,lake,0.15,5,1.21878175,single,single,direct,modelled,105.0564741,1,20.49686536,1,20.49686536,282.685,1,0.396214035,1,0.396214035,,0,,0,-0.000575814,1,-0.000575814,,,,
314,Loreto,191,-0.313984,-78.14614,lake,0.42,5,1.341953852,single,single,direct,modelled,148.1626257,1,111.9631812,1,111.9631812,185,1,0.135325996,1,0.135325996,,0,,0,-0.00148656,1,-0.00148656,,,,
314,Sucus,192,-0.340307,-78.18878,lake,0.29,5,1.36082822,single,single,direct,modelled,22.65644963,1,14.11392,1,14.11392,281.8995,1,0.43867338,1,0.43867338,,0,,0,-0.000263877,1,-0.000263877,,,,
314,Papallacta,193,-0.377752,-78.15959,lake,0.28,5,1.242381291,single,single,direct,modelled,164.6062566,1,118.3198957,1,118.3198957,0.17,1,0.118336157,1,0.118336157,,0,,0,-0.00164,1,-0.00164,,,,
314,Secas,194,-0.452934,-78.32879,lake,0.15,5,1.227003274,seasonal,annual,direct,modelled,42.19054183,1,11.60494312,1,11.60494312,0.6055,1,0.528349181,1,0.528349181,,0,,0,-0.001264173,1,-0.001264173,,,,
127,Cruzeta,195,-6.4014,-36.7922,reservoir,0.49,3,0.946076455,monthly,monthly,indirect,undefined,127.3414905,13,,0,98.93428705,,0,,0,,,0,,0,,0,,,,,
335,ET lake,196,-19.38138889,-56.32591667,lake,0.14,2,0.949264202,monthly,monthly,direct,measured,,0,-3.83,10,-3.83,6.844399198,8,47.62,10,47.62,,0,0.004267803,8,0.0039841,10,0.0039841,26.205,,10.13,2447.5
335,OT lake,197,-19.39002778,-56.32222222,lake,0.22,2,0.971184365,monthly,monthly,direct,measured,,0,81.86,10,81.86,0.127476447,8,0.32,10,0.32,,0,0.008079703,8,-0.0021548,10,-0.0021548,25.95,,9.28,969
207; 242,Carioca; Carioca Lake,198,-19.75702145,-42.61808273,lake,0.12,2,0.732438369,daily,daily,direct,modelled,12.92335585,11,0.317454545,11,0.317454545,,0,,0,,,0,,0,,0,,29.50909091,12.7,6.559090909,35
1173; 1199,; Longchi,199,32.32656743,118.8132767,reservoir,0.34,4,1.071335116,monthly,monthly,,measured,,0,92.94182713,28,92.94182713,,0,3.546577542,28,3.546577542,,0,,0,,0,,,6.8446875,8.04125,
1049,Wulongtan Lake,200,32.04,118.76,lake,0.25,4,1.114591172,single,single,,measured,,0,,0,,,0,12.40862543,1,12.40862543,,0,,0,,0,,25.5,9.8,7.3,
1191,Ang Tso,201,32.006,99.007,lake,0.18,5,1.101774979,single,single,,undefined,,0,,0,,0.0861,1,,0,0.086167905,,0,,0,,0,,,,,
1191,Valentine Lake,202,31.526175,101.696046,lake,0.11,5,1.086566807,single,single,,undefined,,0,,0,,0.0204,1,,0,0.017964098,,0,,0,,0,,,,,
1219,Dalian Lake,203,31.066,120.993,lake,0.23,4,1.119625025,single,single,,modelled,,0,,0,,,0,0.14064,4,0.14064,,0,,0,,0,,,,,
1183,Guanzhuang,204,30.81204,111.433835,reservoir,0.26,4,0.913596601,monthly,monthly,,modelled,,0,35.56739655,1,35.56739655,,0,0.04795604,1,0.04795604,,0,,0,,0,,,,,
1073; 1078,Meiziya; Pond-2; Pond-3; Pond-4; Pond-5,205,30.752297,111.3481934,reservoir,0.21,4,0.908754542,single,single,,measured,,0,,0,,,0,0.124221686,5,0.124221686,,0,,0,,0,,19.5,10.88,8.475,
1221,Xiangyang,206,30.667544,103.586204,reservoir,0.49,4,0.785828261,monthly,monthly,,measured,,0,-58.89601199,12,-58.89601199,,0,1.183415203,12,1.183415203,,0,,0,,0,,,,,
35,Ganges_J2,207,30.5013,77.7975,reservoir,0.37,4,3.834663559,single,single,direct,modelled,8.493372235,1,-28.24594122,1,-28.24594122,0.04,1,-0.171051536,1,-0.171051536,,0,0.00799,1,-0.004782298,1,-0.004782298,21.2,8.5,8.06,123
1132,Shuanghe,208,29.78,106.225,lake,0.13,4,0.771603738,single,single,indirect,modelled,1.859097164,1,-5.1,1,-5.1,,0,,0,,,0,,0,,0,,31.2,8.93,9.32,
