site_numeric,longitude_reported,latitude_reported,longitude_snapped,latitude_snapped,distance_snapped,catchment_area_reported,River_width,catchment_area_snapped,catchment_area_h90m,order_h90,order_orig_coords,order_snapped_coords,slope_channel,elevation_m
47,-53.676936,-28.423005,-53.67708333,-28.42291667,17.45696207,1.1,2,0.609994411,0.609994411,2,2,2,0.036132,394
48,-48.566659,-27.781926,-48.56625,-27.78208333,43.92421414,NA,1.5,3.613406897,3.613406897,3,3,3,0,-1
52,-44.169184,-23.145808,-44.16958333,-23.14541667,59.73726585,NA,1.5,0.18197985,0.18197985,NA,NA,NA,0.119668,49
53,-44.168629,-23.14513,-44.16875,-23.14541667,34.23083495,NA,2,1.512067556,1.512067556,2,2,2,0.213565,46
54,-44.168408,-23.143699,-44.16791667,-23.14375,50.6126476,NA,2,1.779241562,0.01006607,2,NA,2,0.074802,18
57,-44.17029,-23.141984,-44.17041667,-23.14208333,17.04074101,NA,1.5,0.536460519,0.536460519,2,2,2,0.02435,7
58,-44.169193,-23.141765,-44.16958333,-23.14208333,53.40588401,NA,1.5,0.109843031,0.109843031,NA,NA,NA,0.02435,7
59,-44.168936,-23.141657,-44.16875,-23.14125,49.14495357,NA,1.5,0.720290363,0.720290363,2,2,2,0.009118,5
61,-44.168292,-23.140956,-44.16791667,-23.14125,50.47003226,NA,1.5,0.750235677,0.750235677,2,2,2,0.00864,4
62,-44.16747,-23.140628,-44.16708333,-23.14041667,46.04410299,NA,1.5,0.758776665,0.758776665,2,2,2,0.022779,3
70,-47.898179,-22.193672,-47.89791667,-22.19375,28.39917995,2.82,2,2.78222084,2.78222084,3,3,3,0.002169,717
74,-47.865267,-21.947192,-47.86541667,-21.94708333,19.62493112,0.63,1.5,0.686160624,0.686160624,1,1,1,0.028712,825
125,47.47943,-18.134824,47.47958333,-18.13458333,31.3189527,NA,2,2211.640137,2211.640137,7,7,7,0,826
163,145.684167,-16.817628,145.6845833,-16.81708333,75.12919238,1.6,1.5,1.145582914,0.030338833,2,NA,2,0.002328,32
233,-39.071332,-14.463493,-39.07125,-14.46291667,64.76313812,0.361,2,0.057529196,0.033067275,NA,NA,NA,0.143826,113
265,130.781805,-13.101777,130.7820833,-13.10208333,45.53616741,NA,1.5,3.584756851,3.584756851,3,3,3,0.020705,90
327,-62.36344,-10.751855,-62.36375,-10.75125,75.40041533,NA,2,0.499001056,0.008501404,1,NA,1,0.020594,263
333,-58.467698,-10.478047,-58.46708333,-10.47791667,68.82990513,0.009,0.5,0.33487013,0.011751521,2,NA,2,0.036894,269
334,-58.468216,-10.477439,-58.46791667,-10.47708333,51.39252594,0.019,1.487,0.180811986,0.180811986,1,1,1,0,277
452,39.40647,-4.27128,39.40625,-4.27125,24.6495445,NA,2,2.145031452,2.145031452,2,2,2,0.130245,229
538,18.03562,-3.37062,18.03625,-3.370416667,73.57810158,NA,2,128.7746124,0.01033827,5,NA,5,0,303
607,-47.280605,-3.120336,-47.28041667,-3.120416667,22.77876908,NA,2,0.055938069,0.055938069,NA,NA,NA,0.094393,104
697,-59.973213,-2.929197,-59.97291667,-2.929583333,54.17469617,NA,2,0.076956704,0.076956704,1,1,1,0.002168,69
701,-79.028224,-2.92088,-79.02791667,-2.92125,53.5154472,NA,2,17.42108727,17.42108727,4,4,4,0.017638,2555
733,-79.044,-2.88567,-79.04375,-2.885416667,39.59585773,NA,2,4.964141846,4.964141846,3,3,3,0.054448,2622
735,-79.0536,-2.88393,-79.05375,-2.88375,26.06945791,NA,1,5.344032288,5.344032288,3,3,3,0.03364,2649
838,-60.021413,-2.585497,-60.02125,-2.585416667,20.21249924,NA,2,0.892284811,0.892284811,2,2,2,0.003252,79
910,28.794972,-2.362404,28.79541667,-2.362083333,60.99451225,NA,2,31.30307388,0.0143677,5,NA,5,0.108492,1567
919,-47.339274,-2.208405,-47.33875,-2.20875,69.8030213,0.2,0.5,1.059678555,0.017817765,2,NA,2,0.01085,84
975,29.01452,-1.71146,29.01458333,-1.710416667,116.356933,5.8,1.8,5.562052727,0.039874438,3,NA,3,0.0197,1480
987,37.78531,-1.61461,37.78541667,-1.61375,96.46774872,NA,2,7142.193359,0.025786944,8,NA,8,0,935
991,29.07211,-1.57441,29.07208333,-1.574583333,19.52222028,NA,2,1.518226266,1.518226266,NA,NA,NA,0,1498
1075,35.461326,-0.840283,35.46125,-0.840416667,17.11626689,NA,2,6.8940382,6.8940382,3,3,3,0.054109,1955
1076,35.31704,-0.828122,35.31708333,-0.827916667,23.36096298,NA,1.5,28.65053749,28.65053749,4,4,4,0.007413,1895
1091,35.49334,-0.780675,35.49375,-0.780416667,53.94172163,NA,1.5,0.927118301,0.927118301,1,1,1,0.0313,2054
1097,35.463417,-0.759466,35.46375,-0.759583333,39.30013602,NA,2,53.4040947,53.4040947,4,4,4,0,2065
1098,35.51202,-0.759254,35.51208333,-0.75875,56.54618226,NA,2,2.475522995,0.013600137,3,NA,3,0.023888,2113
1100,35.459378,-0.754341,35.45958333,-0.75375,69.64682174,NA,1.5,4.922388554,0.027660089,2,NA,2,0.080005,2073
1104,35.472193,-0.745046,35.47208333,-0.744583333,52.93065497,NA,2,10.1922493,0.021640303,3,NA,3,0.082545,2096
1109,35.436421,-0.727783,35.43708333,-0.727916667,75.21124366,NA,1.5,1.681975961,0.010478928,2,NA,2,0.053539,2088
1114,35.4234,-0.7141,35.42375,-0.71375,55.09819813,NA,2,2.784924746,2.784924746,2,2,2,0.102861,2067
1120,35.419551,-0.707497,35.41958333,-0.707083333,46.18959393,NA,2,1.530816317,1.530816317,2,2,2,0.061776,2051
1140,35.676757,-0.590317,35.67708333,-0.590416667,37.98190735,NA,2,0.452521443,0.452521443,2,2,2,0.092704,2482
1201,36.8168,-0.38739,36.81708333,-0.387083333,46.4775279,NA,2,24.1952343,24.1952343,4,4,4,0.022985,2279
1209,-78.12539,-0.37783,-78.12541667,-0.377916667,10.0940395,24.9,1.5,0.10399358,0.10399358,1,1,1,0.36635,3000
1222,36.642253,-0.338781,36.64208333,-0.33875,19.19955348,NA,1,0.424376965,0.424376965,1,1,1,0.067267,3451
1223,36.6465,-0.3385,36.64625,-0.33875,39.35703971,NA,1,0.067122579,0.067122579,NA,NA,NA,0.214973,3537
1224,36.645,-0.3382,36.64458333,-0.337916667,56.0903163,NA,1,0.134759516,0.134759516,NA,NA,NA,0.134621,3486
1225,36.6476,-0.3381,36.64791667,-0.337916667,40.73219554,NA,0.5,0.073919721,0.073919721,1,1,1,0.221087,3583
1226,-78.2006,-0.3286,-78.20041667,-0.32875,26.36886067,NA,2,0.733475268,0.733475268,2,2,2,0.115955,4096
1227,-78.200471,-0.328202,-78.20041667,-0.327916667,32.3338811,0.023,0.5,0.989150167,0.989150167,2,2,2,0.130173,4102
1238,109.434252,-0.271637,109.4345833,-0.27125,56.71269912,NA,2,0.152739808,0.152739808,NA,NA,NA,0.003258,18
1240,109.436616,-0.268199,109.43625,-0.267916667,51.4562445,NA,0.46,0.260347396,0.260347396,2,2,2,0,18
1251,109.37332,-0.1903,109.37375,-0.189583333,93.03733008,NA,0.94,4.166595459,0.008763458,3,NA,3,0,3
1252,109.375889,-0.188806,109.3754167,-0.18875,52.94787925,NA,0.97,3.616747379,0.008974447,3,NA,3,0.001086,5
1253,109.375611,-0.188694,109.3754167,-0.18875,22.51325849,NA,1.55,3.616747379,3.616747379,3,3,3,0.001086,5
1258,109.37641,-0.1778,109.3779167,-0.17875,198.2775593,NA,0.75,0.046323001,0.008848494,NA,NA,NA,0.001535,6
1260,109.37698,-0.17731,109.3779167,-0.17875,191.2278334,NA,1,0.046323001,0.008586292,NA,NA,NA,0.001535,6
1265,109.39126,-0.16641,109.39125,-0.167083333,74.96338959,NA,0.65,0.175186813,0.017981259,1,NA,1,0.001086,5
1266,38.187645,-0.164722,38.18708333,-0.165416667,99.4444248,NA,2,0.102483034,0.018056728,NA,NA,NA,0.022345,406
1267,37.4385,-0.1543,37.43875,-0.15375,67.25388464,NA,2,3.793248177,0.008669955,2,NA,2,0.026968,2960
1296,109.214242,0.05552,109.2154167,0.055416667,131.268209,NA,1.8,1.279744625,0.008590205,2,NA,2,0,-1
1310,109.137872,0.357717,109.1379167,0.357916667,22.77614493,NA,2,0.055764373,0.055764373,NA,NA,NA,0.00543,24
1311,109.136263,0.359408,109.1345833,0.359583333,187.9919192,NA,1.28,0.044013247,0.026048698,NA,NA,NA,0.006516,24
1324,108.987672,0.44787,108.9879167,0.44875,101.6766972,NA,1.17,1.343118668,0.024023153,3,NA,3,0.01629,17
1348,25.180483,0.500968,25.18125,0.50125,90.96702954,NA,1,0.230318457,0.013874129,1,NA,1,0.001085,392
1518,19.159323,1.637294,19.15958333,1.63625,119.7734689,NA,2,0.219525829,0.012320022,1,NA,1,0,322
1552,20.694432,1.967991,20.69375,1.967916667,76.32499233,NA,1.5,3.954767466,0.00858127,3,NA,3,7.71E-04,335
1606,11.83375,3.163944,11.83375,3.164583333,71.1702611,0.6,1.5,0.533137202,0.017022178,2,NA,2,0,687
1627,17.15847,3.90075,17.15875,3.90125,63.75771039,NA,2,22.96149826,0.030344559,5,NA,5,0,445
1781,-84.015669,10.424323,-84.01625,10.42458333,69.89969444,NA,2,0.069018647,0.012074676,1,NA,1,0.021698,81
1782,-84.018056,10.427778,-84.01958333,10.42708333,184.229358,NA,2,0.066002533,0.020586651,NA,NA,NA,0.094827,78
1797,104.9256,11.577577,104.92625,11.57791667,80.33962207,NA,2,0.080696486,0.008881229,NA,NA,NA,0.051956,8
1798,104.924469,11.578761,104.9245833,11.57875,12.52850453,NA,1,0.04500217,0.04500217,NA,NA,NA,0.063177,8
1885,-65.789297,18.281673,-65.78875,18.28208333,73.68471214,0.13,1.5,0.100536197,0.033460323,1,NA,1,0.052235,643
1886,-65.747451,18.317424,-65.74708333,18.31708333,54.29388676,0.28,2,0.413837433,0.413837433,1,1,1,0.143848,225
1900,102.169105,19.852427,102.1695833,19.85208333,63.02323177,0.64,1.2,0.426441222,0.010661457,1,NA,1,0.101415,450
1901,102.168745,19.853926,102.16875,19.85375,19.59922343,NA,0.8,0.048552155,0.048552155,NA,NA,NA,0.295932,490
1902,102.169828,19.855721,102.1695833,19.85541667,42.47312891,NA,0.8,0.517629623,0.517629623,1,1,1,0.140639,516
1903,102.170021,19.857326,102.1704167,19.85708333,49.45595025,NA,0.7,0.487676293,0.487676293,1,1,1,0.030291,536
1904,102.170805,19.859068,102.1704167,19.85875,53.9094679,NA,0.6,0.364071429,0.364071429,1,1,1,0.090875,536
1905,102.171783,19.859477,102.17125,19.85958333,57.04622265,NA,0.5,0.340619296,0.019442454,1,NA,1,0.014131,541
1906,102.173809,19.860207,102.17375,19.86041667,24.14359127,NA,0.5,0.164060071,0.164060071,1,1,1,0.166259,557
1907,102.175576,19.860276,102.1754167,19.86041667,22.87992083,NA,0.3,0.105971299,0.105971299,1,1,1,0.202628,592
1919,-157.799794,21.337585,-157.7995833,21.33791667,42.89880424,NA,2,1.275171638,1.275171638,2,2,2,0.098606,178
1920,-157.799362,21.342064,-157.79875,21.34208333,63.4921172,NA,2,0.658394217,0.029481376,2,NA,2,0.112116,345
2147,121.396411,23.672981,121.39625,23.67291667,17.90858107,NA,1,0.133385897,0.133385897,NA,NA,NA,0.310198,393
2164,90.242804,23.788087,90.24291667,23.78875,74.69177036,NA,1.5,54.26651001,0.031283595,NA,NA,NA,0,4
2435,101.4955,25.17,101.4954167,25.17041667,47.13685681,NA,1.5,34.78745651,34.78745651,5,5,5,0.025113,1845
2460,101.09,25.23956,101.0895833,25.23958333,42.03538087,NA,2,24.98760605,24.98760605,4,4,4,0.005794,1979
2709,100.029623,27.502468,100.0295833,27.50208333,42.99964599,NA,0.5,0.06434612,0.06434612,NA,NA,NA,0.572102,2645
2710,100.031731,27.502686,100.0320833,27.50291667,43.23914231,NA,0.5,0.048577257,0.048577257,NA,NA,NA,0.004342,2584
2711,100.026483,27.503899,100.02625,27.50458333,79.57769117,NA,0.5,0.06873735,0.039842863,1,NA,1,0.280581,2655
2712,100.016847,27.507291,100.0170833,27.50708333,32.84670866,NA,0.3,0.158115447,0.158115447,NA,NA,NA,0.26037,2848
2713,100.014006,27.508953,100.0145833,27.50875,61.31816358,NA,0.3,0.0469951,0.02953379,NA,NA,NA,0.206349,2855
2714,100.011806,27.509799,100.0120833,27.50958333,36.41633136,NA,0.3,0.063377641,0.063377641,NA,NA,NA,0.433858,2928
2789,113.350847,28.575025,113.35125,28.57541667,58.76313789,NA,1.3,0.465660512,0.465660512,1,1,1,0.034572,105
2792,113.359373,28.581553,113.3595833,28.58208333,62.5143851,NA,1.1,0.911089361,0.033741418,2,NA,2,0.041567,120
2911,106.744598,29.371183,106.7445833,29.37125,7.592907053,NA,1,0.505016088,0.505016088,2,2,2,0.018366,332
2921,106.852874,29.405605,106.8529167,29.40541667,21.3695839,NA,2,0.244896576,0.244896576,1,1,1,0.038893,334
2929,106.863188,29.41751,106.8629167,29.41708333,54.29668545,NA,1,0.256317645,0.010039816,1,NA,1,0,305
2930,106.864671,29.419322,106.8645833,29.41958333,30.30799322,NA,1,0.339110851,0.339110851,1,1,1,0.108248,280
3063,106.501813,29.606686,106.5020833,29.60708333,51.39011753,NA,2,4.17812252,4.17812252,3,3,3,0,270
3104,106.507859,29.655867,106.5079167,29.65625,42.99877421,NA,2,0.534140646,0.534140646,2,2,2,0.011587,327
3135,106.982398,29.710509,106.9820833,29.71041667,32.1130841,NA,2,1.097273469,1.097273469,NA,NA,NA,0.014484,517
3168,106.939596,29.759821,106.9395833,29.75958333,26.48523449,NA,1.5,11.80404186,11.80404186,3,3,3,0,175
3359,103.64312,30.568982,103.6420833,30.57041667,188.0927264,NA,1.5,0.040610004,0.021205796,NA,NA,NA,0,516
3634,119.412054,31.159797,119.4120833,31.15958333,23.94883637,NA,2,3.436793804,3.436793804,3,3,3,0.036315,95
3654,119.376781,31.180234,119.3770833,31.18041667,35.25007465,NA,1.8,1.499979019,1.499979019,3,3,3,0.026572,67
3974,117.008246,31.811009,117.0079167,31.81125,41.11368253,NA,1.76,0.056366924,0.056366924,NA,NA,NA,0.00866,35
3991,119.217427,31.98778,119.2170833,31.98791667,35.83743893,NA,0.5,3.447331429,3.447331429,3,3,3,0,28
4097,-84.165783,33.634584,-84.16541667,33.63458333,33.95301494,0.41,1,0.225630671,0.225630671,2,2,2,0,213
8,153.177099,-30.138222,153.17625,-30.13625,234.244553,1.76,4,1.895121574,0.007984564,2,NA,2,0.002328,23
9,153.163586,-30.13697,153.1629167,-30.13708333,65.66157366,0.245,3,0.61921525,0.014620953,2,NA,2,0.01164,46
27,153.274241,-28.849265,153.2754167,-28.84875,128.1688208,NA,4.5,18.29656601,0.017095888,4,NA,4,0,5
36,152.86027,-28.71555,152.8604167,-28.71541667,20.62363376,NA,4,95.43112183,95.43112183,5,5,5,0,62
49,-48.504705,-27.607696,-48.50458333,-27.60791667,27.33966435,NA,4,1.725044489,1.725044489,NA,NA,NA,0.035775,30
55,-44.167818,-23.143225,-44.16791667,-23.14291667,35.77856915,NA,3,1.488505483,1.488505483,2,2,2,0.006284,8
56,-44.167079,-23.142326,-44.16708333,-23.14208333,27.01717125,NA,4,1.540265441,1.540265441,2,2,2,0.038489,6
71,-47.9389,-22.1614,-47.93875,-22.16125,22.75889802,1.05,3,0.916026294,0.916026294,2,2,2,0.070617,724
72,-47.873,-21.9794,-47.87291667,-21.97958333,22.14747839,2.67,3.5,2.844369173,2.844369173,3,3,3,0,841
73,-47.8425,-21.9667,-47.84291667,-21.96625,66.0283909,1.31,3,1.214392424,0.068551965,2,NA,2,0.046561,867
110,47.540889,-18.52136,47.54125,-18.52125,40.02408838,NA,2.5,1.280537724,1.280537724,2,2,2,0.061822,1197
128,47.34247,-18.0175,47.34208333,-18.01708333,61.86185944,NA,4.5,1.923818111,1.923818111,2,2,2,0.076643,1353
226,-39.173238,-14.792809,-39.17291667,-14.79291667,36.60294488,0.734,3,0.469748288,0.469748288,1,1,1,0.011108,32
271,-61.396043,-12.968416,-61.39625,-12.96791667,59.94995552,NA,3,2.293834209,0.008367324,3,NA,3,0,176
272,131.1301,-12.8804,131.1295833,-12.88041667,56.09853442,34,3.5,32.83099365,0.012574409,4,NA,4,0,48
277,-69.289853,-12.834969,-69.28958333,-12.83375,138.8191485,4.961,3,0.264382273,0.009117049,1,NA,1,0,210
284,131.165368,-12.586475,131.1654167,-12.58708333,67.92545444,NA,2.5,14.21535397,0.01089774,4,NA,4,0,35
285,131.155583,-12.573617,131.1554167,-12.57375,23.36240983,NA,4.5,0.203394398,0.203394398,NA,NA,NA,7.67E-04,32
312,24.32862,-11.3503,24.32791667,-11.35041667,77.85430453,25,3,5.604877949,0.023981195,3,NA,3,0.003842,1442
325,-62.358351,-10.754986,-62.35875,-10.75458333,62.55697553,NA,3,0.432091951,0.432091951,NA,NA,NA,0.011923,253
432,39.33964,-4.36483,39.33958333,-4.364583333,28.16998098,NA,4,57.41154861,57.41154861,5,5,5,0.009246,57
434,39.43383,-4.35503,39.43375,-4.355416667,43.94994485,NA,3.5,101.1861496,101.1861496,5,5,5,0,72
450,39.43042,-4.28328,39.43041667,-4.282916667,40.44777424,NA,3.5,27.75254059,27.75254059,4,4,4,7.70E-04,144
457,39.47153,-4.19456,39.47208333,-4.194583333,61.48668068,NA,3,6.910501003,0.010734694,3,NA,3,0.005472,230
460,39.41922,-4.18106,39.41958333,-4.180416667,82.19474738,NA,3.5,0.691632628,0.009880555,NA,NA,NA,0.002189,157
547,17.600965,-3.311474,17.60041667,-3.31125,65.8426582,NA,3,2.442039013,0.011730611,3,NA,3,0,297
556,17.541699,-3.273077,17.54125,-3.272083333,121.3493488,NA,3,4.298149586,0.008572328,3,NA,3,0.003283,297
579,-47.314653,-3.190783,-47.31458333,-3.190416667,41.50866637,NA,3,16.21716881,16.21716881,5,5,5,0.02604,151
677,-79.0715,-2.98863,-79.07125,-2.98875,30.83571928,NA,4,52.06729889,52.06729889,4,4,4,0,2711
683,-79.0496,-2.96306,-79.04958333,-2.96125,201.4967973,NA,3,113.431221,0.01225746,5,NA,5,0.019937,2602
731,-79.038995,-2.88845,-79.03875,-2.887916667,65.32064667,NA,4,0.102104604,321.6141663,NA,5,NA,0.033743,2606
742,-78.978612,-2.869981,-78.97875,-2.869583333,46.85149492,NA,4,20.71076393,20.71076393,4,4,4,0.058528,2497
833,-60.218879,-2.601666,-60.21875,-2.602083333,48.62175122,NA,3,8.865021706,0.071304321,3,NA,3,0.015337,60
840,14.781417,-2.580651,14.78125,-2.580416667,32.02144897,NA,3,45.5638504,45.5638504,4,4,4,0,441
872,28.83672,-2.46981,28.83708333,-2.469583333,47.63950955,NA,4,10.110425,10.110425,3,3,3,0.030821,1470
895,28.834912,-2.413931,28.83458333,-2.41375,41.7397866,NA,3,24.09550667,24.09550667,4,4,4,0.0197,1469
922,29.296198,-2.167077,29.29625,-2.167083333,5.827280042,NA,4.5,15.89049339,15.89049339,3,3,3,0.078113,1585
935,29.411552,-2.067089,29.41125,-2.067083333,33.60253147,NA,4,2.76347065,2.76347065,NA,NA,NA,0.031741,1590
985,29.014895,-1.622283,29.01458333,-1.622083333,41.19197909,NA,3.6,0.742774785,0.742774785,NA,NA,NA,0.025427,1478
986,29.014751,-1.622176,29.01458333,-1.622083333,21.31897442,16.1,4.5,0.742774785,0.742774785,NA,NA,NA,0.025427,1478
989,29.072229,-1.574798,29.07208333,-1.574583333,28.87545451,NA,2.5,1.518226266,1.518226266,NA,NA,NA,0,1498
990,29.072222,-1.574788,29.07208333,-1.574583333,27.51694611,10.2,2.4,1.518226266,1.518226266,NA,NA,NA,0,1498
992,29.072206,-1.57424,29.07208333,-1.574583333,40.58408953,8.5,3,1.518226266,1.518226266,NA,NA,NA,0,1498
995,29.046027,-1.56966,29.04541667,-1.56875,121.9610282,31.7,4,0.268265754,0.009981152,NA,NA,NA,0.012039,1485
997,29.048033,-1.564663,29.04875,-1.565416667,115.7786375,NA,3,0.162647501,0.008583132,NA,NA,NA,0.002312,1482
998,29.03872,-1.564322,29.03875,-1.56375,63.76219995,31.7,4,29.74181366,0.012182963,4,NA,4,0,1500
1062,35.435614,-0.914469,35.43541667,-0.914583333,25.38539282,NA,4,4.076032162,4.076032162,3,3,3,0.063496,1873
1069,35.407564,-0.855209,35.40791667,-0.855416667,45.55559014,NA,4.5,12.39251041,12.39251041,3,3,3,0.009885,1942
1071,15.812459,-0.851731,15.81125,-0.852083333,140.1696138,NA,4,0.099921368,0.037606698,1,NA,1,0.001541,333
1073,35.421854,-0.848117,35.42208333,-0.847916667,33.89595359,NA,4.5,30.63665771,30.63665771,4,4,4,0,1927
1074,35.459572,-0.843302,35.45958333,-0.842916667,42.91365566,NA,3.5,67.29347229,67.29347229,4,4,4,0.033547,1944
1080,35.449755,-0.816391,35.44958333,-0.81625,24.72808149,NA,3,0.114074744,0.114074744,NA,NA,NA,0.050862,1988
1083,35.522606,-0.808189,35.52291667,-0.807916667,45.98721572,NA,3,3.714833498,3.714833498,2,2,2,0.088133,1998
1084,35.535124,-0.806412,35.53541667,-0.80625,37.23479969,NA,3,4.125417233,4.125417233,2,2,2,0.041184,2014
1085,35.530299,-0.804753,35.53125,-0.804583333,107.5261814,NA,2.5,6.159033775,0.015433826,3,NA,3,0.120256,2029
1086,35.470672,-0.797207,35.47041667,-0.797083333,31.57942594,NA,3,0.537524998,0.537524998,NA,NA,NA,0.017297,2023
1087,35.332677,-0.794683,35.33291667,-0.79375,107.2324005,NA,4,13.83194923,0.02886351,4,NA,4,0,1903
1095,35.463431,-0.76243,35.46375,-0.762083333,52.44090577,NA,3,0.976929367,0.976929367,2,2,2,0.052714,2075
1096,35.46268,-0.7602,35.46291667,-0.760416667,35.71702704,NA,4,53.46681595,53.46681595,4,4,4,0.016233,2058
1099,35.365291,-0.759098,35.36541667,-0.75875,41.18720979,NA,3.5,0.308960289,0.308960289,NA,NA,NA,0.057356,1932
1101,35.461049,-0.753714,35.46125,-0.75375,22.72935987,NA,3,51.66481781,51.66481781,4,4,4,0,2063
1102,35.472396,-0.753146,35.47208333,-0.752916667,43.16230573,NA,3,1.240152836,1.240152836,2,2,2,0.02471,2115
1103,35.368877,-0.746187,35.36875,-0.74625,15.78040233,NA,3,1.970435023,1.970435023,2,2,2,0.104132,1970
1105,35.47063,-0.744515,35.47125,-0.744583333,69.43022043,NA,4,43.98563385,0.02299278,4,NA,4,0,2085
1106,35.3652,-0.743,35.36458333,-0.742916667,69.26526323,NA,2.5,0.347146243,0.074196242,1,NA,1,0.168821,1978
1107,35.4537,-0.7404,35.45375,-0.740416667,5.866611469,NA,3.625,0.369784832,0.369784832,NA,NA,NA,0.071659,2119
1108,35.439019,-0.731745,35.43958333,-0.732083333,73.24193034,NA,2.5,0.266682535,0.037798584,1,NA,1,0.064931,2118
1112,35.421721,-0.714976,35.42208333,-0.714583333,59.47546565,NA,3,0.596894801,0.596894801,2,2,2,0.160164,2055
1113,35.4297,-0.7142,35.42958333,-0.71375,51.74967604,NA,2.5,2.041341305,0.01427815,2,NA,2,0.078734,2091
1116,35.420561,-0.713486,35.42041667,-0.712916667,65.38248942,NA,4,0.819203973,0.013507485,NA,NA,NA,0.088133,2052
1119,35.418615,-0.707624,35.41875,-0.707083333,62.03429489,NA,3,0.448817372,0.023917228,1,NA,1,0.128493,2055
1125,35.4256,-0.7047,35.42541667,-0.704583333,24.18917431,NA,3.5,1.838008046,1.838008046,2,2,2,0.04942,2066
1142,35.675396,-0.589396,35.67541667,-0.589583333,20.98035573,NA,2.5,7.530276299,7.530276299,3,3,3,0,2471
1145,35.633639,-0.583359,35.63375,-0.582916667,50.76687531,NA,2.5,11.51921844,0.018872701,3,NA,3,0.01397,2430
1172,36.7123,-0.4704,36.71208333,-0.470416667,24.18966587,NA,3.333,37.20772934,37.20772934,5,5,5,0,2957
1178,36.715789,-0.454347,36.71625,-0.454583333,57.66747977,NA,4,16.12704659,0.016529847,NA,NA,NA,0,2994
1188,-78.02742,-0.41287,-78.02708333,-0.412916667,37.83492821,4.5,4,1.742389441,1.742389441,NA,NA,NA,0.101225,2416
1193,37.4717,-0.3995,37.47208333,-0.399583333,43.6681467,NA,4,41.77449036,41.77449036,4,4,4,0.001085,1759
1203,37.4588,-0.3843,37.45875,-0.38375,61.47818687,NA,3,10.07632923,0.008586549,NA,NA,NA,0,1753
1207,-78.13576,-0.38102,-78.13541667,-0.38125,46.00237543,187.4,4.5,43.37849426,43.37849426,NA,NA,NA,0.062865,3055
1215,36.673908,-0.36133,36.67458333,-0.36125,75.70191734,NA,3.5,40.79785538,0.06912075,4,NA,4,0.060872,3222
1216,36.67391,-0.36133,36.67458333,-0.36125,75.48083323,NA,4,40.79785538,0.06912075,4,NA,4,0.060872,3222
1239,109.43433,-0.271507,109.4345833,-0.27125,40.17158412,NA,2.8,0.152739808,0.152739808,NA,NA,NA,0.003258,18
1242,37.600019,-0.251262,37.59958333,-0.25125,48.51611893,NA,4,0.871301532,0.016560128,2,NA,2,0.053936,1639
1246,109.36567,-0.20244,109.3654167,-0.202083333,48.69996666,NA,3.5,1.332494736,1.332494736,2,2,2,0.001085,1
1248,109.37117,-0.19308,109.3704167,-0.192916667,85.80866016,NA,2.5,5.862689972,0.008866047,NA,NA,NA,0,2
1249,109.37307,-0.19066,109.37375,-0.189583333,141.7567948,NA,2.5,4.166595459,0.008763458,3,NA,3,0,3
1250,109.37347,-0.19042,109.37375,-0.189583333,98.21447145,NA,2.5,4.166595459,0.009049162,3,NA,3,0,3
1254,109.37421,-0.18508,109.37375,-0.185416667,63.45623354,NA,2.25,0.268372148,0.009157481,2,NA,2,0.001535,4
1255,109.374639,-0.185028,109.3745833,-0.184583333,49.8864347,NA,4,0.257651389,0.009157481,2,NA,2,7.68E-04,4
1256,109.372568,-0.180884,109.3720833,-0.18125,67.60818897,NA,2.85,1.03856492,0.018490354,2,NA,2,0,8
1257,109.374659,-0.179346,109.37375,-0.177083333,271.4446167,NA,2.25,0.212538227,0.008588466,1,NA,1,0.004344,7
1259,109.3761,-0.17735,109.3745833,-0.17625,208.5646008,NA,4.1,0.111555196,0.008586292,1,NA,1,0.00307,8
1261,109.37607,-0.17727,109.3745833,-0.17625,200.7012544,NA,4.2,0.111555196,0.008586292,1,NA,1,0.00307,8
1262,109.37485,-0.1753,109.3745833,-0.175416667,32.40172805,NA,3.3,0.090001144,0.090001144,1,1,1,0.00217,8
1263,109.37481,-0.17524,109.3745833,-0.175416667,31.99121669,NA,3.6,0.090001144,0.090001144,1,1,1,0.00217,8
1302,18.282969,0.113975,18.28208333,0.11375,101.7235622,NA,4,0.180487141,0.032194037,1,NA,1,0,305
1313,109.136361,0.35945,109.13375,0.359583333,291.0282053,NA,4.8,0.450416684,0.026048698,2,NA,2,0.002303,25
1317,109.103278,0.372583,109.1029167,0.372916667,54.74946699,NA,3.15,40.33861542,40.33861542,5,5,5,0,13
1318,109.09438,0.37296,109.09375,0.372916667,70.29550069,NA,2.92,47.33212662,0.012722448,5,NA,5,0,9
1319,109.021,0.377333,109.0220833,0.377916667,136.9830056,NA,3.5,11.72718716,0.008586158,4,NA,4,0,15
1321,109.021228,0.380595,109.02125,0.38125,72.95538178,NA,2.84,0.181922004,0.034884684,1,NA,1,7.68E-04,14
1325,108.990835,0.44798,108.99125,0.447083333,109.9882541,NA,3.55,0.869988263,0.008586071,2,NA,2,0.002172,18
1374,24.180353,0.631318,24.18041667,0.63125,10.36942846,NA,4,176.6907654,176.6907654,6,6,6,7.71E-04,385
1401,24.28226,0.75107,24.28291667,0.75125,75.79026298,NA,4.5,0.211146578,0.023055013,NA,NA,NA,0,371
