site_numeric,longitude_reported,latitude_reported,longitude_snapped,latitude_snapped,distance_snapped,catchment_area_reported,River_width,catchment_area_snapped,catchment_area_h90m,order_h90,order_orig_coords,order_snapped_coords,slope_channel,elevation_m
3002,106.495788,29.515865,106.4970833,29.51541667,135.0430934,NA,13,18.39079285,17.91866875,4,4,4,0,260
3003,106.3016,29.516167,106.3029167,29.51708333,163.3204872,NA,15,40.49879837,0.007664613,5,NA,5,0.00866,291
3004,107.000027,29.51735,107.00125,29.51875,195.7653569,NA,18,161.0496521,0.297997892,5,NA,5,0,394
3005,106.668966,29.520505,106.6695833,29.52041667,60.60290122,NA,13,44.73958588,0.01996842,5,NA,5,0,196
3007,106.440231,29.529225,106.44125,29.53041667,165.345395,NA,8,12.8077898,12.74430084,4,4,4,0.011258,284
3009,106.301994,29.532017,106.3029167,29.53291667,134.2253135,NA,5,58.82612228,0.00922553,5,NA,5,0,288
3010,106.442852,29.532759,106.44125,29.53375,190.3824861,NA,11,14.03291416,0.529182315,4,NA,4,0,252
3011,106.302983,29.533167,106.30375,29.53375,98.64405341,NA,22,58.87091064,58.82612228,5,5,5,0,288
3013,106.441436,29.540195,106.4420833,29.54125,133.1280917,NA,9,14.67999363,14.61350727,4,4,4,0,249
3023,106.444822,29.553935,106.44375,29.55375,105.8312684,NA,10,21.16194725,19.17728996,4,NA,4,0,226
3024,106.443119,29.555149,106.4445833,29.55625,187.4251364,NA,10,21.55310249,0.058028072,4,NA,4,0,227
3025,106.315817,29.5596,106.31625,29.56125,188.401682,NA,19,81.52886963,0.008858852,5,NA,5,0,282
3026,106.447065,29.566853,106.4470833,29.56791667,118.4201365,NA,8,27.46408272,11.17613697,5,NA,5,0,209
3027,108.4767,29.56687,108.4779167,29.56625,136.5315998,NA,22,461.3946838,458.3345947,6,6,6,0,315
3033,106.447432,29.572832,106.44875,29.57375,163.4813933,NA,6,34.88842773,0.023724351,5,NA,5,0,185
3038,106.4852,29.578396,106.48375,29.57958333,192.8096516,NA,10,27.98850632,27.88067245,4,4,4,0.015588,260
3039,106.444578,29.578809,106.44625,29.57958333,183.389705,NA,14,35.84077072,0.141211644,5,NA,5,0,176
3041,106.495162,29.581026,106.4945833,29.57958333,170.0874249,NA,6,26.22062874,26.08983994,4,4,4,0.010392,248
3042,106.499815,29.581766,106.49875,29.58291667,164.4303208,NA,9.5,22.61808968,22.56328201,4,4,4,0.002897,266
3043,106.498967,29.582071,106.4979167,29.58291667,138.5686008,NA,7,22.65700531,0.008100634,4,NA,4,0,256
3044,106.503428,29.582256,106.5020833,29.58208333,131.5870248,NA,19,22.46957207,0.310221493,4,NA,4,0,255
3047,106.449075,29.58364,106.4504167,29.58458333,167.0236672,NA,21,36.13471222,0.015060301,5,NA,5,0.081403,165
3048,106.50403,29.584125,106.50375,29.58291667,137.2150293,NA,11,22.06624603,21.67232895,4,4,4,0,254
3049,106.443742,29.584376,106.4454167,29.58541667,199.2553749,NA,5,4.611782074,3.398202896,3,3,3,0.004345,192
3050,106.504008,29.584669,106.50375,29.58291667,196.6613141,NA,15,22.06624603,0.011156268,4,NA,4,0,254
3051,106.445815,29.585145,106.44625,29.58541667,51.84461726,NA,10,4.633722305,4.611782074,3,3,3,0,184
3052,106.446648,29.585456,106.4479167,29.58625,151.3128468,NA,14,4.677844048,4.633722305,3,3,3,0.188287,176
3053,106.447495,29.585559,106.4479167,29.58625,87.08153696,NA,18,4.677844048,4.20626545,3,3,3,0.188287,176
3059,106.502248,29.599271,106.50375,29.59958333,149.4817613,NA,11,16.85947037,0.02332956,4,NA,4,0,274
3064,106.340384,29.607272,106.3395833,29.60791667,105.617654,NA,9,0.404907703,0.013956903,2,NA,2,0,284
3065,106.341783,29.6076,106.3404167,29.60791667,136.8574297,NA,10,0.357953966,0.278056294,1,1,1,0.005793,286
3066,106.719717,29.609392,106.72125,29.60875,164.6837098,NA,17,51.00416183,50.95063019,4,4,4,0,188
3067,106.719116,29.609903,106.7204167,29.60875,179.7787179,NA,23,50.97955704,0.020367036,4,NA,4,0.00869,188
3071,106.379673,29.619923,106.3795833,29.62125,147.9755974,NA,14,126.0881577,125.7997131,5,5,5,0,282
3075,106.657604,29.621393,106.6579167,29.62041667,112.8180682,NA,20,108.4338303,108.3945694,5,5,5,0,197
3076,106.353,29.62325,106.3529167,29.62375,56.24088306,NA,14,154.0536346,0.025963627,6,NA,6,0,278
3078,106.597369,29.626269,106.5970833,29.62458333,189.6727479,NA,14,53.50575638,0.268392384,5,NA,5,0,178
3079,106.661938,29.627813,106.66125,29.62625,186.2942682,NA,13,105.826004,105.7011032,5,5,5,0,188
3080,106.662073,29.628602,106.66125,29.62708333,186.8755832,NA,24,105.7369843,105.6692734,5,5,5,0,183
3081,106.63679,29.632265,106.6370833,29.63125,116.4997411,NA,10,17.68534088,17.61007118,4,4,4,0,214
3084,106.599813,29.634936,106.5995833,29.63375,133.8820651,NA,14,52.56504059,52.50362396,5,5,5,0,180
3085,106.599839,29.636732,106.6004167,29.63541667,156.7275911,NA,14,52.17958832,24.81066513,5,4,5,0,190
3087,106.473828,29.639342,106.47375,29.63791667,158.8467591,NA,7,7.681540012,0.01704401,3,NA,3,0.019052,216
3088,106.67648,29.639391,106.6754167,29.63791667,193.7029492,NA,6,94.03662109,0.007666313,5,NA,5,0,186
3089,106.676371,29.639873,106.67625,29.63875,125.5587769,NA,10,93.96551514,0.007666313,5,NA,5,0,188
3090,106.598084,29.641648,106.5970833,29.64041667,167.8155759,NA,6,22.19513512,21.86581802,4,4,4,0,186
3091,106.598273,29.643416,106.59875,29.64208333,155.3643409,NA,12,21.84027481,18.41189575,4,4,4,0,198
3092,106.677891,29.643614,106.6770833,29.64208333,187.4566428,NA,14,93.65773773,93.3441391,5,5,5,0,190
3093,106.597556,29.644334,106.5979167,29.64458333,44.58675317,NA,9,21.69161606,21.69161606,4,4,4,0.139367,219
3094,106.591231,29.646081,106.5929167,29.64708333,197.6007394,NA,8,20.48047829,20.38106155,4,4,4,0,238
3095,106.586493,29.648327,106.5870833,29.64708333,149.7619935,NA,14,18.67180252,0.013738492,4,NA,4,0.019918,252
3097,106.577899,29.650199,106.57875,29.65041667,85.82030854,NA,13,15.8161211,15.76692581,4,4,4,0.011258,254
3101,106.478348,29.65413,106.4770833,29.65375,129.4503929,NA,12,5.94099474,0.008293351,4,NA,4,0,236
3102,106.480431,29.654264,106.47875,29.65458333,166.4590391,NA,17,5.830420017,5.312125683,4,4,4,0.005794,237
3110,106.648526,29.658748,106.64875,29.65708333,186.5724513,NA,12,10.11928749,9.843142509,4,4,4,8.66E-04,223
3113,106.649412,29.660053,106.64875,29.65875,158.5566437,NA,11,9.843142509,0.028311463,4,NA,4,0.054018,223
3114,106.440271,29.660091,106.44125,29.65958333,110.2831284,NA,5.5,2.859323025,0.015359158,3,NA,3,0,213
3117,106.677808,29.662994,106.6779167,29.66125,194.4255516,NA,18,78.033638,77.96118164,5,5,5,0,209
3126,106.683764,29.692652,106.68375,29.69125,156.075798,NA,10,59.65983582,0.01793734,5,NA,5,0,199
3136,106.689736,29.711381,106.6895833,29.71041667,108.3591414,NA,7,48.51203918,0.014080839,5,NA,5,0.005196,203
3141,106.567953,29.718076,106.5679167,29.71958333,167.8323414,NA,13,16.01874733,0.007461454,4,NA,4,0.050777,275
3142,106.451,29.719409,106.4529167,29.71875,199.2912241,NA,6,19.43484306,19.34425735,4,4,4,0.058021,240
3148,106.571196,29.736226,106.5695833,29.73541667,180.0452175,NA,9,1.416201234,1.178631067,2,2,2,0.095258,293
3152,-95.523217,29.746835,-95.52208333,29.74791667,162.8006252,NA,11,859.4279175,0.013558442,7,NA,7,0,13
3166,106.379234,29.75947,106.3804167,29.75958333,114.985077,NA,7,22.14230728,22.07185936,4,4,4,0,234
3170,106.580871,29.76,106.5795833,29.76041667,132.8004784,NA,21,279.7458496,279.5722046,6,6,6,0,236
3171,106.644919,29.760297,106.6454167,29.76125,116.4795828,NA,11,22.7853508,0.015818711,4,NA,4,0.014722,298
3172,-95.375197,29.761371,-95.37375,29.76208333,160.7515956,NA,24,970.598877,970.4760742,7,7,7,0,10
3180,106.60891,29.771589,106.6070833,29.77125,180.4940406,NA,23,271.4810791,0.007682824,6,NA,6,0,234
3181,-95.482582,29.771792,-95.48125,29.77291667,179.5536769,NA,20,892.0401611,891.897522,7,7,7,0,8
3182,106.52198,29.775212,106.52125,29.77375,177.3767491,NA,21,358.1536865,358.0698547,6,6,6,0,190
3183,111.590845,29.778075,111.59125,29.77875,84.71931695,NA,14,516.2405396,0.007454481,6,NA,6,0,48
3185,106.72596,29.780696,106.7245833,29.77958333,181.7516831,NA,6,14.33180809,14.17322922,4,4,4,0.015588,270
3198,106.439207,29.817485,106.4395833,29.81875,145.4342911,NA,11,520.3201904,0.099290006,6,1,6,0,187
3199,106.548813,29.818477,106.5479167,29.81958333,150.5378347,NA,16,338.9288635,306.2522583,6,6,6,0,258
3200,106.44,29.82,106.44125,29.82041667,129.3283649,NA,15,520.4315796,0.019880792,6,NA,6,0.023382,182
3207,106.573028,29.833871,106.5720833,29.83541667,194.7489382,NA,18,268.1237488,0.010136294,5,NA,5,0,264
3216,-82.219677,29.846348,-82.22125,29.84625,152.2714797,245.839,10,275.309906,0.014261106,6,NA,6,0,33
3229,106.840259,29.858462,106.8420833,29.85875,179.0199762,NA,20,214.7170868,214.6485443,5,5,5,0,188
3231,106.835556,29.861667,106.8370833,29.86208333,154.5600952,NA,24,213.3735962,213.2856445,5,5,5,0,198
3238,106.554847,29.869684,106.55625,29.86875,170.7420632,NA,11,20.64020538,0.011998795,4,NA,4,0.00866,342
3245,106.770674,29.880037,106.7720833,29.87958333,145.1036946,NA,19,145.0126648,0.039776567,5,NA,5,0.206104,281
3246,106.613156,29.883529,106.6120833,29.88291667,123.9571887,NA,21,226.0708313,0.018486794,5,NA,5,0,271
3247,106.618806,29.889903,106.61875,29.88875,128.4651155,NA,20,224.8718414,0.00764492,5,NA,5,0,272
3248,107.051762,29.889997,107.0529167,29.89041667,120.8353234,NA,18,311.3297424,0.007487174,6,NA,6,8.66E-04,316
3250,106.618521,29.890221,106.61875,29.88875,165.2357486,NA,17,224.8718414,0.010119394,5,NA,5,0,272
3257,106.712909,29.908891,106.71125,29.90875,160.8511324,NA,11,67.77139282,67.66657257,4,4,4,0,363
3259,106.71225,29.91042,106.7120833,29.90875,186.5978752,NA,12,67.71416473,0.009177331,4,NA,4,0,346
3263,106.616554,29.918159,106.6179167,29.91708333,177.833166,NA,17,179.158844,0.009278814,5,NA,5,0,276
3270,106.591982,29.949089,106.5929167,29.94958333,105.6207533,NA,7,9.184681892,0.019719819,4,NA,4,0.010392,289
3271,106.592053,29.949159,106.5929167,29.94958333,95.7651364,NA,7,9.184681892,0.019719819,4,NA,4,0.010392,289
3273,106.608634,29.951028,106.6104167,29.95125,173.7103172,NA,16,70.73155212,0.044862375,5,NA,5,0,299
3274,106.717066,29.951086,106.7179167,29.95041667,110.8325633,NA,23,43.74391174,0.00834688,4,NA,4,0,437
3275,-82.786111,29.9525,-82.78708333,29.95208333,104.6265019,NA,14,654.8928223,0.009646762,6,NA,6,0,4
3279,106.612288,29.966961,106.61125,29.96625,127.6125229,NA,17,45.81128311,42.94127655,4,4,4,0.015588,295
3281,106.711998,29.981142,106.7120833,29.97958333,173.7049706,NA,11,25.66529846,25.41850471,4,4,4,0,471
3284,106.64722,29.99218,106.64875,29.99125,180.2161864,NA,16,64.06999969,0.057742968,4,1,4,8.66E-04,309
3286,-82.274303,29.998111,-82.27458333,29.99708333,117.5484126,495,13,490.3529053,0.008464652,7,NA,7,0.001679,27
