site_numeric,site,GPP_yr,NPP_yr,wetland_cover,peatland_cover,nee_yr
46,Donato,1530.1,859.3652482269504,0,0.14594384149922085,-10.394528198242192
47,Low urban (14),2775.8724137931044,1533.4086206896554,0,0,3.1474286317825317
51,Bico - R2P6,2989.913235294118,1593.9926470588236,0,0,0.7299403667449951
52,Bico - R2P5,2989.913235294118,1593.9926470588236,0,0,0.7299403667449951
53,Bico - R2P4,2989.913235294118,1593.9926470588236,0,0,0.7299403667449951
56,Abrao- R1P5,2989.913235294118,1593.9926470588236,0,0,0.7299403667449951
57,Abrao- R1P4,2989.913235294118,1593.9926470588236,0,0,0.7299403667449951
58,Abrao- R1P3,2989.913235294118,1593.9926470588236,0,0,0.7299403667449951
60,Abrao- R1P2,2989.913235294118,1593.9926470588236,0,0,0.7299403667449951
61,Abrao- R1P1,2989.913235294118,1593.9926470588236,0,0,0.7299403667449951
69,FOR3,1788.6111022251157,1043.1940782656725,0,0.16831486877349033,34.265810298919675
73,SUG1,1582.896739130435,962,0,0.33761595802623623,-11.402319192886353
124,Borges2015_1246,1700.7112646937508,1045.3362359626583,0,0.04987942349041026,-1.5769337654113802
162,Atika Creek (AC),2422.3131147540985,1188.2540983606557,0,0,19.490515327453615
232,Tropical preserved forest,3013.6032520325207,1363.8918699186993,0,0,4.963621711730957
325,Boa Vista-NS1,1956.9956521739127,862.4000000000002,0,0.2659751974625556,-26.95528888702393
331,"Juruena2, Brazil",2537.1370611780003,899.6840441895355,0,1.577979354827259,-31.649589157104497
332,Juruena - UW,2537.1370611780003,899.6840441895355,0,1.577979354827259,-31.649589157104497
406,Borges2015_1409,2297.928070175439,1240.138596491228,0,0.3933732149476189,1.2702831149101257
492,Congo River basin,1937.0891642482452,912.6605761404268,0,0.921698263230068,-28.366927289962767
556,IGP-S1,1858.5941176470587,551.0656862745099,0,0,2.1483300685882543
607,Barro Branco-Reserva Ducke 1,2327.0534246575344,740.7753424657535,0,0,-6.7879049301147445
609,Tarqui TA22,1744.1743363056155,1012.5760696312636,0,0.978363090028182,21.267516994476317
635,Tomebamba TO34,1380.1141631961325,800.7448057529413,0,0.9858350814092842,21.267516994476317
637,Tomebamba TO32,1380.1141631961325,800.7448057529413,0,0.9858350814092842,21.267516994476317
680,Cabea Branca-Reser. Campinas 1,2436.796129032258,748.6870967741936,0,0,-1.9249326705932617
708,Borges2015_800,2394.3015873015875,1268.020634920635,0,0,-18.629415035247803
717,CP1-S2,1819.4650862108344,566.9500394229012,0,0,10.73640662431717
773,KISHEKE,2612.4892086330938,1365.1,0,3.902123226100988,6.46794114112854
785,Borges2015_2038,978.0109375,560.571875,0,0.4906471476206205,-16.9280506849289
789,Borges2015_848,1697.0413461538462,982.8,0,0,6.46794114112854
873,KAK,2288.0274657335567,1224.9388352047497,0,0,-1.3974480271339411
874,KIP_M,1905.08,1110.209090909091,0,0,-1.3974480271339411
889,MUM,2515.535507246377,1334.8123188405798,0,0,-1.3974480271339411
895,MSH,2515.535507246377,1334.8123188405798,0,0,-1.3974480271339411
896,NYA,2315.843611919034,1234.1386119432625,0,0,-1.3974480271339411
898,BON_II,2628.1487012987022,1379.4746753246757,0,0,-1.3974480271339411
902,SAR,2515.535507246377,1334.8123188405798,0,0,-1.3974480271339411
